Row,Experiment,ID,Plant,Microbes,Treatment,Bio_rep,Rep,Time_Point,Nb,Root_Length
201,Sugars,#REF!,TOR,MF,Water,Rep 1,1,D07,NA,12
202,Sugars,#REF!,TOR,MF,Water,Rep 1,2,D07,NA,13
203,Sugars,#REF!,TOR,MF,Water,Rep 1,3,D07,NA,16
204,Sugars,#REF!,TOR,MF,Water,Rep 1,4,D07,NA,11
205,Sugars,#REF!,TOR,MF,Water,Rep 1,5,D07,NA,15
206,Sugars,#REF!,TOR,MF,Water,Rep 1,6,D07,NA,11
207,Sugars,#REF!,TOR,MF,Water,Rep 1,7,D07,NA,13
208,Sugars,#REF!,TOR,MF,Water,Rep 1,8,D07,NA,16
209,Sugars,#REF!,TOR,MF,Water,Rep 1,9,D07,NA,14
210,Sugars,#REF!,TOR,MF,Water,Rep 1,10,D07,NA,12
211,Sugars,#REF!,TOR,MF,Water,Rep 1,11,D07,NA,9
212,Sugars,#REF!,TOR,MF,Water,Rep 1,12,D07,NA,13
213,Sugars,#REF!,TOR,MF,Water,Rep 1,13,D07,NA,6
214,Sugars,#REF!,TOR,MF,Water,Rep 1,14,D07,NA,14
215,Sugars,#REF!,TOR,MF,Water,Rep 1,15,D07,NA,14
216,Sugars,#REF!,TOR,MF,Water,Rep 1,16,D07,NA,5
217,Sugars,#REF!,TOR,MF,Water,Rep 1,17,D07,NA,11
218,Sugars,#REF!,TOR,MF,Water,Rep 1,18,D07,NA,16
219,Sugars,#REF!,TOR,MF,Water,Rep 1,19,D07,NA,12
220,Sugars,#REF!,TOR,MF,Water,Rep 1,20,D07,NA,12
221,Sugars,#REF!,TOR,MF,Water,Rep 1,21,D07,NA,10
222,Sugars,#REF!,TOR,MF,Water,Rep 1,22,D07,NA,14
223,Sugars,#REF!,TOR,MF,Water,Rep 1,23,D07,NA,15
224,Sugars,#REF!,TOR,MF,Water,Rep 1,24,D07,NA,14
225,Sugars,#REF!,TOR,MF,Water,Rep 1,25,D07,NA,13
226,Sugars,#REF!,TOR,MF,Water,Rep 1,26,D07,NA,13
227,Sugars,#REF!,TOR,MF,Water,Rep 1,27,D07,NA,10
228,Sugars,#REF!,TOR,MF,Water,Rep 1,28,D07,NA,15
229,Sugars,#REF!,TOR,MF,Water,Rep 1,29,D07,NA,13
230,Sugars,#REF!,TOR,MF,Water,Rep 1,30,D07,NA,13
231,Sugars,#REF!,TOR,MF,Water,Rep 1,31,D07,NA,13
232,Sugars,#REF!,TOR,MF,Water,Rep 1,32,D07,NA,15
233,Sugars,#REF!,TOR,MF,Water,Rep 1,33,D07,NA,10
234,Sugars,#REF!,TOR,MF,Water,Rep 1,34,D07,NA,14
235,Sugars,#REF!,TOR,MF,Water,Rep 1,35,D07,NA,10
236,Sugars,#REF!,TOR,MF,Water,Rep 1,36,D07,NA,17
237,Sugars,#REF!,TOR,MF,Water,Rep 1,37,D07,NA,13
238,Sugars,#REF!,TOR,MF,Water,Rep 1,38,D07,NA,6
239,Sugars,#REF!,TOR,MF,Water,Rep 1,39,D07,NA,9
240,Sugars,#REF!,TOR,MF,Water,Rep 1,40,D07,NA,12
241,Sugars,#REF!,TOR,MF,Water,Rep 1,41,D07,NA,13
242,Sugars,#REF!,TOR,MF,Water,Rep 1,42,D07,NA,12
243,Sugars,#REF!,TOR,MF,Water,Rep 1,43,D07,NA,0.78
244,Sugars,#REF!,TOR,MF,Water,Rep 1,44,D07,NA,17
245,Sugars,#REF!,TOR,MF,Water,Rep 1,45,D07,NA,13
246,Sugars,#REF!,TOR,MF,Water,Rep 1,46,D07,NA,7
247,Sugars,#REF!,TOR,MF,Water,Rep 1,47,D07,NA,15
248,Sugars,#REF!,TOR,MF,Water,Rep 1,48,D07,NA,13
249,Sugars,#REF!,TOR,MF,Water,Rep 1,49,D07,NA,13
250,Sugars,#REF!,TOR,MF,Water,Rep 1,50,D07,NA,14
251,Sugars,#REF!,TOR,MF,3OMG,Rep 1,1,D07,NA,14
252,Sugars,#REF!,TOR,MF,3OMG,Rep 1,2,D07,NA,12
253,Sugars,#REF!,TOR,MF,3OMG,Rep 1,3,D07,NA,18
254,Sugars,#REF!,TOR,MF,3OMG,Rep 1,4,D07,NA,9
255,Sugars,#REF!,TOR,MF,3OMG,Rep 1,5,D07,NA,13
256,Sugars,#REF!,TOR,MF,3OMG,Rep 1,6,D07,NA,12
257,Sugars,#REF!,TOR,MF,3OMG,Rep 1,7,D07,NA,12
258,Sugars,#REF!,TOR,MF,3OMG,Rep 1,8,D07,NA,10
259,Sugars,#REF!,TOR,MF,3OMG,Rep 1,9,D07,NA,13
260,Sugars,#REF!,TOR,MF,3OMG,Rep 1,10,D07,NA,17
261,Sugars,#REF!,TOR,MF,3OMG,Rep 1,11,D07,NA,13
262,Sugars,#REF!,TOR,MF,3OMG,Rep 1,12,D07,NA,11
263,Sugars,#REF!,TOR,MF,3OMG,Rep 1,13,D07,NA,10
264,Sugars,#REF!,TOR,MF,3OMG,Rep 1,14,D07,NA,18
265,Sugars,#REF!,TOR,MF,3OMG,Rep 1,15,D07,NA,14
266,Sugars,#REF!,TOR,MF,3OMG,Rep 1,16,D07,NA,11
267,Sugars,#REF!,TOR,MF,3OMG,Rep 1,17,D07,NA,12
268,Sugars,#REF!,TOR,MF,3OMG,Rep 1,18,D07,NA,11
269,Sugars,#REF!,TOR,MF,3OMG,Rep 1,19,D07,NA,14
270,Sugars,#REF!,TOR,MF,3OMG,Rep 1,20,D07,NA,16
271,Sugars,#REF!,TOR,MF,3OMG,Rep 1,21,D07,NA,11
272,Sugars,#REF!,TOR,MF,3OMG,Rep 1,22,D07,NA,12
273,Sugars,#REF!,TOR,MF,3OMG,Rep 1,23,D07,NA,10
274,Sugars,#REF!,TOR,MF,3OMG,Rep 1,24,D07,NA,13
275,Sugars,#REF!,TOR,MF,3OMG,Rep 1,25,D07,NA,13
276,Sugars,#REF!,TOR,MF,3OMG,Rep 1,26,D07,NA,14
277,Sugars,#REF!,TOR,MF,3OMG,Rep 1,27,D07,NA,13
278,Sugars,#REF!,TOR,MF,3OMG,Rep 1,28,D07,NA,14
279,Sugars,#REF!,TOR,MF,3OMG,Rep 1,29,D07,NA,16
280,Sugars,#REF!,TOR,MF,3OMG,Rep 1,30,D07,NA,15
281,Sugars,#REF!,TOR,MF,3OMG,Rep 1,31,D07,NA,16
282,Sugars,#REF!,TOR,MF,3OMG,Rep 1,32,D07,NA,12
283,Sugars,#REF!,TOR,MF,3OMG,Rep 1,33,D07,NA,15
284,Sugars,#REF!,TOR,MF,3OMG,Rep 1,34,D07,NA,15
285,Sugars,#REF!,TOR,MF,3OMG,Rep 1,35,D07,NA,12
286,Sugars,#REF!,TOR,MF,3OMG,Rep 1,36,D07,NA,12
287,Sugars,#REF!,TOR,MF,3OMG,Rep 1,37,D07,NA,11
288,Sugars,#REF!,TOR,MF,3OMG,Rep 1,38,D07,NA,10
289,Sugars,#REF!,TOR,MF,3OMG,Rep 1,39,D07,NA,14
290,Sugars,#REF!,TOR,MF,3OMG,Rep 1,40,D07,NA,11
291,Sugars,#REF!,TOR,MF,3OMG,Rep 1,41,D07,NA,13
292,Sugars,#REF!,TOR,MF,3OMG,Rep 1,42,D07,NA,10
293,Sugars,#REF!,TOR,MF,3OMG,Rep 1,43,D07,NA,12
294,Sugars,#REF!,TOR,MF,3OMG,Rep 1,44,D07,NA,14
295,Sugars,#REF!,TOR,MF,3OMG,Rep 1,45,D07,NA,17
296,Sugars,#REF!,TOR,MF,3OMG,Rep 1,46,D07,NA,13
297,Sugars,#REF!,TOR,MF,3OMG,Rep 1,47,D07,NA,8
298,Sugars,#REF!,TOR,MF,3OMG,Rep 1,48,D07,NA,15
299,Sugars,#REF!,TOR,MF,3OMG,Rep 1,49,D07,NA,12
300,Sugars,#REF!,TOR,MF,3OMG,Rep 1,50,D07,NA,17
301,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,1,D07,NA,15
302,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,2,D07,NA,18
303,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,3,D07,NA,16
304,Sugars,#REF!,RAPTOR1A,MF,Water,Rep 1,4,D07,NA,15
