,Time,Media,Plate,Well,Sample,Strain,Strain2,Phylum,Class,Order,Family,Genus,Phylum_alternative,OD600
1621,T1W,Glucose,P2.2,H1,S88,R1310,Root1310,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,0.165199995
1622,T1W,Glucose,P2.2,H2,S89,R1464,Root1464,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Actinobacteria,0.103100002
1623,T1W,Glucose,P2.2,H3,S90,R1497,Root1497,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Alphaproteobacteria,0.270300001
1624,T1W,Glucose,P2.2,H4,Water,Water,Water,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.079300001
1625,T1W,Glucose,P2.2,H5,Water,Water,Water,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.082800001
1626,T1W,Glucose,P2.2,H6,Water,Water,Water,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.082800001
1627,T1W,3OMG,P2.2,H7,S88,R1310,Root1310,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,0.086400002
1628,T1W,3OMG,P2.2,H8,S89,R1464,Root1464,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Actinobacteria,0.085900001
1629,T1W,3OMG,P2.2,H9,S90,R1497,Root1497,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Alphaproteobacteria,0.084299996
1630,T1W,3OMG,P2.2,H10,Water,Water,Water,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.079300001
1631,T1W,3OMG,P2.2,H11,Water,Water,Water,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.079000004
1632,T1W,3OMG,P2.2,H12,Water,Water,Water,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.079000004
1633,T1W,Glucose,P2.3,A1,S46,R381,Root381,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Alphaproteobacteria,0.085699998
1634,T1W,Glucose,P2.3,A2,S47,R401,Root401,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,0.1193
1635,T1W,Glucose,P2.3,A3,S48,R418,Root418,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Betaproteobacteria,0.086900003
1636,T1W,Glucose,P2.3,A4,S49,R420,Root420,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes,0.084100001
1637,T1W,Glucose,P2.3,A5,S50,R431,Root431,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,0.158600003
1638,T1W,Glucose,P2.3,A6,S51,R436,Root436,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,#REF!,Alphaproteobacteria,0.084600002
1639,T1W,3OMG,P2.3,A7,S46,R381,Root381,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Alphaproteobacteria,0.084700003
1640,T1W,3OMG,P2.3,A8,S47,R401,Root401,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,0.094999999
1641,T1W,3OMG,P2.3,A9,S48,R418,Root418,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Betaproteobacteria,0.088399999
1642,T1W,3OMG,P2.3,A10,S49,R420,Root420,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes,0.084200002
1643,T1W,3OMG,P2.3,A11,S50,R431,Root431,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,0.086000003
1644,T1W,3OMG,P2.3,A12,S51,R436,Root436,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,#REF!,Alphaproteobacteria,0.0876
1645,T1W,Glucose,P2.3,B1,S52,R444D2,Root444D2,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Firmicutes,0.090099998
1646,T1W,Glucose,P2.3,B2,S53,R456,Root456,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,#REF!,Actinobacteria,0.084799998
1647,T1W,Glucose,P2.3,B3,S54,R480,Root480,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,#REF!,Gammaproteobacteria,0.142399997
1648,T1W,Glucose,P2.3,B4,S55,R482,Root482,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Alphaproteobacteria,0.1074
1649,T1W,Glucose,P2.3,B5,S56,R483D1,Root483D1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Alphaproteobacteria,0.100500003
1650,T1W,Glucose,P2.3,B6,S57,R487D2Y,Root487D2Y,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Alphaproteobacteria,0.082699999
