	locus_name	symbol	full_name
5944	AT1G70250	LTPG32	glycosylphosphatidylinositol-anchored lipid protein transfer 32
5945	AT1G70260	RTP1	Resistance to Phytophthora parasitica 1
5946	AT1G70260	UMAMIT36	Usually multiple acids move in and out Transporters 36
5947	AT1G70290	ATTPS8	NULL
5948	AT1G70290	ATTPSC	NULL
5949	AT1G70290	TPS8	trehalose-6-phosphatase synthase S8
5950	AT1G70300	KUP6	K+ uptake permease 6
5951	AT1G70310	SPDS2	spermidine synthase 2
5952	AT1G70320	UPL2	ubiquitin-protein ligase 2
5953	AT1G70330	ENT1	equilibrative nucleotide transporter 1
5954	AT1G70330	"ENT1,AT"	equilibrative nucleotide transporter 1
5955	AT1G70340	CORD5	CORTICAL MICROTUBULE DISORDERING5
5956	AT1G70370	PG2	polygalacturonase 2
5957	AT1G70370	PGL3	NULL
5958	AT1G70410	ATBCA4	BETA CARBONIC ANHYDRASE 4
5959	AT1G70410	BCA4	beta carbonic anhydrase 4
5960	AT1G70410	CA4	BETA CARBONIC ANHYDRASE 4
5961	AT1G70440	SRO3	similar to RCD one 3
5962	AT1G70460	AtPERK13	proline-rich extensin-like receptor kinase 13
5963	AT1G70460	PERK13	proline-rich extensin-like receptor kinase 13
5964	AT1G70460	RHS10	root hair specific 10
5965	AT1G70480	JASSY	NULL
5966	AT1G70490	ARFA1D	NULL
5967	AT1G70490	ATARFA1D	NULL
5968	AT1G70510	ATK1	ARABIDOPSIS THALIANA KN 1
5969	AT1G70510	KNAT2	KNOTTED-like from Arabidopsis thaliana 2
5970	AT1G70520	ASG6	ALTERED SEED GERMINATION 6
5971	AT1G70520	CRK2	cysteine-rich RLK (RECEPTOR-like protein kinase) 2
5972	AT1G70520	CRK2	CYSTEINE-RICH RLK2
5973	AT1G70530	CRK3	cysteine-rich RLK (RECEPTOR-like protein kinase) 3
5974	AT1G70540	EDA24	embryo sac development arrest 24
5975	AT1G70560	CKRC1	cytokinin induced root curling 1
5976	AT1G70560	SAV3	SHADE AVOIDANCE 3
