	Rep	Medium	Microbes	Carbon	Carbon2	Rep	Time	Area	Length
128	R1	MS	MF	OM.Galactose	Galactose	28	72h	0.27	3.19
129	R1	MS	MF	OM.Galactose	Galactose	29	72h	0.277	3.239
130	R1	MS	MF	OM.Galactose	Galactose	30	72h	0.206	2.393
131	R1	MS	MF	OM.Galactose	Galactose	31	72h	0.185	2.038
132	R1	MS	MF	OM.Galactose	Galactose	32	72h	0.305	3.45
133	R1	MS	MF	OM.Galactose	Galactose	33	72h	0.199	2.241
134	R1	MS	MF	OM.Galactose	Galactose	34	72h	0.227	2.624
135	R1	MS	MF	OM.Galactose	Galactose	35	72h	0.256	2.988
136	R1	MS	MF	OM.Galactose	Galactose	36	72h	0.234	2.644
137	R1	MS	MF	OM.Galactose	Galactose	37	72h	0.22	2.472
138	R1	MS	MF	OM.Galactose	Galactose	38	72h	0.192	2.098
139	R1	MS	MF	OM.Galactose	Galactose	39	72h	0.128	1.46
140	R1	MS	MF	OM.Galactose	Galactose	40	72h	0.234	2.633
141	R1	MS	MF	OM.Galactose	Galactose	41	72h	0.142	1.616
142	R1	MS	MF	OM.Galactose	Galactose	42	72h	0.22	2.437
143	R1	MS	MF	OM.Galactose	Galactose	43	72h	0.185	2.045
144	R1	MS	MF	OM.Galactose	Galactose	44	72h	0.199	2.263
145	R1	MS	MF	OM.Galactose	Galactose	45	72h	0.156	1.742
146	R1	MS	MF	OM.Galactose	Galactose	46	72h	0.206	2.386
147	R1	MS	MF	OM.Galactose	Galactose	47	72h	0.135	1.559
148	R1	MS	MF	OM.Galactose	Galactose	48	72h	0.199	2.106
149	R1	MS	MF	OM.Galactose	Galactose	49	72h	0.206	2.432
150	R1	MS	MF	OM.Galactose	Galactose	50	72h	0.213	2.538
151	R1	MS	MF	OM.Mannose	Mannose	1	72h	0.27	3.165
152	R1	MS	MF	OM.Mannose	Mannose	2	72h	0.22	2.531
153	R1	MS	MF	OM.Mannose	Mannose	3	72h	0.163	1.855
154	R1	MS	MF	OM.Mannose	Mannose	4	72h	0.27	3.19
155	R1	MS	MF	OM.Mannose	Mannose	5	72h	0.213	2.506
156	R1	MS	MF	OM.Mannose	Mannose	6	72h	0.291	3.361
157	R1	MS	MF	OM.Mannose	Mannose	7	72h	0.227	2.61
158	R1	MS	MF	OM.Mannose	Mannose	8	72h	0.163	1.888
159	R1	MS	MF	OM.Mannose	Mannose	9	72h	0.178	2.056
160	R1	MS	MF	OM.Mannose	Mannose	10	72h	0.22	2.554
161	R1	MS	MF	OM.Mannose	Mannose	11	72h	0.234	2.743
162	R1	MS	MF	OM.Mannose	Mannose	12	72h	0.199	2.26
163	R1	MS	MF	OM.Mannose	Mannose	13	72h	0.241	2.823
