TranscriptID	Control_3OMG_F16_1	Control_3OMG_F16_2	Control_3OMG_F16_3	Control_3OMG_F16_4	Control_Water_F16_1	Control_Water_F16_2	Control_Water_F16_3	Plant_3OMG_F16_1	Plant_3OMG_F16_2	Plant_3OMG_F16_3	Plant_3OMG_F16_4	m3OMG_microbeFree_1	m3OMG_microbeFree_2	m3OMG_microbeFree_3	m3OMG_microbeFree_4	Plant_Water_F16_1	Plant_Water_F16_2	Plant_Water_F16_3	Plant_Water_F16_4	water_microbeFree_1	water_microbeFree_2	water_microbeFree_3	water_microbeFree_4
gene_349	7	3	6	20	6	22	10	1	2	0	1	0	0	0	0	6	5	0	4	0	0	0	0
gene_357	57	84	51	124	41	65	52	11	21	22	10	0	0	0	0	24	9	8	14	0	0	0	0
gene_385	16	14	3	7	13	17	25	3	1	6	3	0	0	0	0	16	1	3	5	0	0	0	0
gene_391	7	14	11	27	15	13	13	1	2	2	2	0	0	0	0	6	4	6	5	0	0	0	0
gene_404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_409	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_415	86	79	51	76	91	118	91	18	35	24	43	0	0	0	0	54	24	49	43	0	0	0	0
gene_419	1	1	1	2	2	5	1	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
gene_421	37	71	17	50	44	58	52	4	2	7	3	0	0	0	0	11	4	13	5	0	0	0	0
gene_430	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_432	255	290	252	271	343	414	428	7	15	13	23	0	0	0	0	22	12	29	13	0	0	0	0
gene_458	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0
gene_463	0	0	0	0	0	0	0	4	8	10	4	0	0	0	0	11	9	4	5	0	0	0	0
gene_469	12	7	9	9	2	21	13	0	4	3	1	0	0	0	0	7	3	3	5	0	0	0	0
gene_484	32	45	31	60	61	60	73	12	16	14	11	0	0	0	0	54	9	27	13	0	0	0	0
gene_485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_492	1	5	1	8	6	3	2	2	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0
gene_553	24	25	22	26	19	30	24	3	6	11	14	0	0	0	0	30	8	18	9	0	0	0	0
gene_572	21	15	7	14	26	26	34	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0
gene_578	17	17	15	17	20	28	62	5	9	18	9	0	0	0	0	23	10	21	10	0	0	0	0
gene_603	65	69	55	61	60	82	80	30	35	33	17	0	0	0	0	48	43	50	30	0	0	0	0
gene_609	0	1	0	0	4	2	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene_666	56	64	48	101	117	115	141	15	45	28	12	6	0	3	0	108	5	26	28	2	1	10	6
gene_675	1	8	0	2	4	8	5	1	0	1	2	0	0	0	0	5	2	5	3	0	0	0	0
gene_700	571	574	341	781	684	670	750	15	53	54	43	0	0	0	0	101	46	49	52	0	0	0	0
gene_720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_749	263	363	196	381	397	549	596	42	85	61	42	0	0	0	0	94	46	95	76	0	0	0	0
gene_761	21	33	15	37	37	41	30	6	10	13	7	0	0	0	0	22	10	11	9	0	0	0	0
gene_772	82	65	76	78	91	106	122	20	26	11	7	0	0	0	0	38	16	14	16	0	0	0	0
gene_776	13	18	18	17	12	16	16	2	8	12	4	0	0	0	0	16	5	8	7	0	0	0	0
gene_788	138	129	128	204	164	187	204	31	45	54	41	0	0	0	0	126	40	84	61	0	0	0	0
gene_825	7	2	1	6	4	3	5	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
gene_830	30	37	29	32	40	53	62	7	15	5	4	0	0	0	0	24	7	14	21	0	0	0	0
gene_845	14	26	9	23	15	25	26	4	2	6	5	0	0	0	0	8	3	7	6	0	0	0	0
gene_889	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gene_907	0	0	1	1	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_926	67	101	90	134	114	102	228	5	17	9	2	0	0	0	0	6	1	0	3	0	0	0	0
gene_1004	30	36	22	28	22	36	42	4	7	9	4	0	0	0	0	16	8	15	16	0	0	0	0
gene_1015	2	7	2	8	14	6	3	0	4	1	0	0	0	0	0	2	2	1	1	0	0	0	0
gene_1022	54	55	62	53	67	79	85	18	22	19	24	0	0	0	0	60	15	40	26	0	0	0	0
