ID,Time_Points,Microbes,Concentration_3OMG,Concentration_3OMG_2,Tech_Rep,Root_length
72h_MF_3.75_3.75_mM_24,72h,MF,3.75,3.75_mM,24,0.154
72h_MF_3.75_3.75_mM_25,72h,MF,3.75,3.75_mM,25,0.127
72h_FSC_3.75_3.75_mM_1,72h,FSC,3.75,3.75_mM,1,0.162
72h_FSC_3.75_3.75_mM_2,72h,FSC,3.75,3.75_mM,2,0.176
72h_FSC_3.75_3.75_mM_3,72h,FSC,3.75,3.75_mM,3,0.172
72h_FSC_3.75_3.75_mM_4,72h,FSC,3.75,3.75_mM,4,0.18
72h_FSC_3.75_3.75_mM_5,72h,FSC,3.75,3.75_mM,5,0.146
72h_FSC_3.75_3.75_mM_6,72h,FSC,3.75,3.75_mM,6,0.153
72h_FSC_3.75_3.75_mM_7,72h,FSC,3.75,3.75_mM,7,0.119
72h_FSC_3.75_3.75_mM_8,72h,FSC,3.75,3.75_mM,8,0.13
72h_FSC_3.75_3.75_mM_9,72h,FSC,3.75,3.75_mM,9,0.139
72h_FSC_3.75_3.75_mM_10,72h,FSC,3.75,3.75_mM,10,0.203
72h_FSC_3.75_3.75_mM_11,72h,FSC,3.75,3.75_mM,11,0.099
72h_FSC_3.75_3.75_mM_12,72h,FSC,3.75,3.75_mM,12,0.146
72h_FSC_3.75_3.75_mM_13,72h,FSC,3.75,3.75_mM,13,0.086
72h_FSC_3.75_3.75_mM_14,72h,FSC,3.75,3.75_mM,14,0.157
72h_FSC_3.75_3.75_mM_15,72h,FSC,3.75,3.75_mM,15,0.229
72h_FSC_3.75_3.75_mM_16,72h,FSC,3.75,3.75_mM,16,0.2
72h_FSC_3.75_3.75_mM_17,72h,FSC,3.75,3.75_mM,17,0.131
72h_FSC_3.75_3.75_mM_18,72h,FSC,3.75,3.75_mM,18,0.149
72h_FSC_3.75_3.75_mM_19,72h,FSC,3.75,3.75_mM,19,0.066
72h_FSC_3.75_3.75_mM_20,72h,FSC,3.75,3.75_mM,20,0.185
72h_FSC_3.75_3.75_mM_21,72h,FSC,3.75,3.75_mM,21,0.115
72h_FSC_3.75_3.75_mM_22,72h,FSC,3.75,3.75_mM,22,0.113
72h_FSC_3.75_3.75_mM_23,72h,FSC,3.75,3.75_mM,23,0.096
72h_FSC_3.75_3.75_mM_24,72h,FSC,3.75,3.75_mM,24,0.118
72h_FSC_3.75_3.75_mM_25,72h,FSC,3.75,3.75_mM,25,0.201
72h_FSC_3.75_3.75_mM_26,72h,FSC,3.75,3.75_mM,26,0.094
72h_MF_1.87_1.87_mM_1,72h,MF,1.87,1.87_mM,1,0.15
72h_MF_1.87_1.87_mM_2,72h,MF,1.87,1.87_mM,2,0.25
72h_MF_1.87_1.87_mM_3,72h,MF,1.87,1.87_mM,3,0.257
72h_MF_1.87_1.87_mM_4,72h,MF,1.87,1.87_mM,4,0.142
72h_MF_1.87_1.87_mM_5,72h,MF,1.87,1.87_mM,5,0.142
72h_MF_1.87_1.87_mM_6,72h,MF,1.87,1.87_mM,6,0.186
72h_MF_1.87_1.87_mM_7,72h,MF,1.87,1.87_mM,7,0.094
72h_MF_1.87_1.87_mM_8,72h,MF,1.87,1.87_mM,8,0.229
72h_MF_1.87_1.87_mM_9,72h,MF,1.87,1.87_mM,9,0.196
72h_MF_1.87_1.87_mM_10,72h,MF,1.87,1.87_mM,10,0.239
72h_MF_1.87_1.87_mM_11,72h,MF,1.87,1.87_mM,11,0.204
72h_MF_1.87_1.87_mM_12,72h,MF,1.87,1.87_mM,12,0.322
72h_MF_1.87_1.87_mM_13,72h,MF,1.87,1.87_mM,13,0.122
72h_MF_1.87_1.87_mM_14,72h,MF,1.87,1.87_mM,14,0.186
72h_MF_1.87_1.87_mM_15,72h,MF,1.87,1.87_mM,15,0.179
72h_MF_1.87_1.87_mM_16,72h,MF,1.87,1.87_mM,16,0.213
72h_MF_1.87_1.87_mM_17,72h,MF,1.87,1.87_mM,17,0.13
72h_MF_1.87_1.87_mM_18,72h,MF,1.87,1.87_mM,18,0.192
72h_MF_1.87_1.87_mM_19,72h,MF,1.87,1.87_mM,19,0.165
72h_MF_1.87_1.87_mM_20,72h,MF,1.87,1.87_mM,20,0.258
72h_MF_1.87_1.87_mM_21,72h,MF,1.87,1.87_mM,21,0.209
72h_MF_1.87_1.87_mM_22,72h,MF,1.87,1.87_mM,22,0.16
72h_MF_1.87_1.87_mM_23,72h,MF,1.87,1.87_mM,23,0.21
72h_MF_1.87_1.87_mM_24,72h,MF,1.87,1.87_mM,24,0.193
72h_MF_1.87_1.87_mM_25,72h,MF,1.87,1.87_mM,25,0.184
72h_MF_1.87_1.87_mM_26,72h,MF,1.87,1.87_mM,26,0.086
72h_MF_1.87_1.87_mM_27,72h,MF,1.87,1.87_mM,27,0.185
72h_MF_1.87_1.87_mM_28,72h,MF,1.87,1.87_mM,28,0.121
72h_MF_1.87_1.87_mM_29,72h,MF,1.87,1.87_mM,29,0.147
72h_MF_1.87_1.87_mM_30,72h,MF,1.87,1.87_mM,30,0.197
72h_MF_1.87_1.87_mM_31,72h,MF,1.87,1.87_mM,31,0.193
72h_MF_1.87_1.87_mM_32,72h,MF,1.87,1.87_mM,32,0.21
72h_MF_1.87_1.87_mM_33,72h,MF,1.87,1.87_mM,33,0.15
72h_MF_1.87_1.87_mM_34,72h,MF,1.87,1.87_mM,34,0.207
72h_MF_1.87_1.87_mM_35,72h,MF,1.87,1.87_mM,35,0.142
72h_MF_1.87_1.87_mM_36,72h,MF,1.87,1.87_mM,36,0.091
72h_MF_1.87_1.87_mM_37,72h,MF,1.87,1.87_mM,37,0.067
72h_MF_1.87_1.87_mM_38,72h,MF,1.87,1.87_mM,38,0.057
72h_FSC_1.87_1.87_mM_1,72h,FSC,1.87,1.87_mM,1,0.136
72h_FSC_1.87_1.87_mM_2,72h,FSC,1.87,1.87_mM,2,0.157
72h_FSC_1.87_1.87_mM_3,72h,FSC,1.87,1.87_mM,3,0.222
72h_FSC_1.87_1.87_mM_4,72h,FSC,1.87,1.87_mM,4,0.25
72h_FSC_1.87_1.87_mM_5,72h,FSC,1.87,1.87_mM,5,0.216
72h_FSC_1.87_1.87_mM_6,72h,FSC,1.87,1.87_mM,6,0.076
72h_FSC_1.87_1.87_mM_7,72h,FSC,1.87,1.87_mM,7,0.201
72h_FSC_1.87_1.87_mM_8,72h,FSC,1.87,1.87_mM,8,0.159
72h_FSC_1.87_1.87_mM_9,72h,FSC,1.87,1.87_mM,9,0.123
72h_FSC_1.87_1.87_mM_10,72h,FSC,1.87,1.87_mM,10,0.217
72h_FSC_1.87_1.87_mM_11,72h,FSC,1.87,1.87_mM,11,0.207
72h_FSC_1.87_1.87_mM_12,72h,FSC,1.87,1.87_mM,12,0.083
72h_FSC_1.87_1.87_mM_13,72h,FSC,1.87,1.87_mM,13,0.101
72h_FSC_1.87_1.87_mM_14,72h,FSC,1.87,1.87_mM,14,0.209
72h_FSC_1.87_1.87_mM_15,72h,FSC,1.87,1.87_mM,15,0.134
72h_FSC_1.87_1.87_mM_16,72h,FSC,1.87,1.87_mM,16,0.158
72h_FSC_1.87_1.87_mM_17,72h,FSC,1.87,1.87_mM,17,0.168
72h_FSC_1.87_1.87_mM_18,72h,FSC,1.87,1.87_mM,18,0.198
72h_FSC_1.87_1.87_mM_19,72h,FSC,1.87,1.87_mM,19,0.162
72h_FSC_1.87_1.87_mM_20,72h,FSC,1.87,1.87_mM,20,0.197
72h_FSC_1.87_1.87_mM_21,72h,FSC,1.87,1.87_mM,21,0.129
72h_FSC_1.87_1.87_mM_22,72h,FSC,1.87,1.87_mM,22,0.159
72h_FSC_1.87_1.87_mM_23,72h,FSC,1.87,1.87_mM,23,0.141
72h_FSC_1.87_1.87_mM_24,72h,FSC,1.87,1.87_mM,24,0.191
72h_FSC_1.87_1.87_mM_25,72h,FSC,1.87,1.87_mM,25,0.26
72h_FSC_1.87_1.87_mM_26,72h,FSC,1.87,1.87_mM,26,0.127
72h_FSC_1.87_1.87_mM_27,72h,FSC,1.87,1.87_mM,27,0.16
72h_FSC_1.87_1.87_mM_28,72h,FSC,1.87,1.87_mM,28,0.149
72h_FSC_1.87_1.87_mM_29,72h,FSC,1.87,1.87_mM,29,0.186
72h_FSC_1.87_1.87_mM_30,72h,FSC,1.87,1.87_mM,30,0.095
72h_FSC_1.87_1.87_mM_31,72h,FSC,1.87,1.87_mM,31,0.061
72h_FSC_1.87_1.87_mM_32,72h,FSC,1.87,1.87_mM,32,0.075
72h_FSC_1.87_1.87_mM_33,72h,FSC,1.87,1.87_mM,33,0.147
72h_FSC_1.87_1.87_mM_34,72h,FSC,1.87,1.87_mM,34,0.173
72h_FSC_1.87_1.87_mM_35,72h,FSC,1.87,1.87_mM,35,0.186
72h_FSC_1.87_1.87_mM_36,72h,FSC,1.87,1.87_mM,36,0.225
72h_FSC_1.87_1.87_mM_37,72h,FSC,1.87,1.87_mM,37,0.194
72h_FSC_1.87_1.87_mM_38,72h,FSC,1.87,1.87_mM,38,0.159
72h_MF_0.9_0.9_mM_1,72h,MF,0.9,0.9_mM,1,0.256
72h_MF_0.9_0.9_mM_2,72h,MF,0.9,0.9_mM,2,0.19
72h_MF_0.9_0.9_mM_3,72h,MF,0.9,0.9_mM,3,0.227
72h_MF_0.9_0.9_mM_4,72h,MF,0.9,0.9_mM,4,0.267
72h_MF_0.9_0.9_mM_5,72h,MF,0.9,0.9_mM,5,0.142
72h_MF_0.9_0.9_mM_6,72h,MF,0.9,0.9_mM,6,0.172
72h_MF_0.9_0.9_mM_7,72h,MF,0.9,0.9_mM,7,0.143
72h_MF_0.9_0.9_mM_8,72h,MF,0.9,0.9_mM,8,0.122
72h_MF_0.9_0.9_mM_9,72h,MF,0.9,0.9_mM,9,0.156
72h_MF_0.9_0.9_mM_10,72h,MF,0.9,0.9_mM,10,0.201
72h_MF_0.9_0.9_mM_11,72h,MF,0.9,0.9_mM,11,0.101
72h_MF_0.9_0.9_mM_12,72h,MF,0.9,0.9_mM,12,0.115
72h_MF_0.9_0.9_mM_13,72h,MF,0.9,0.9_mM,13,0.234
72h_MF_0.9_0.9_mM_14,72h,MF,0.9,0.9_mM,14,0.176
72h_MF_0.9_0.9_mM_15,72h,MF,0.9,0.9_mM,15,0.179
72h_MF_0.9_0.9_mM_16,72h,MF,0.9,0.9_mM,16,0.085
72h_MF_0.9_0.9_mM_17,72h,MF,0.9,0.9_mM,17,0.303
72h_MF_0.9_0.9_mM_18,72h,MF,0.9,0.9_mM,18,0.234
72h_MF_0.9_0.9_mM_19,72h,MF,0.9,0.9_mM,19,0.122
72h_MF_0.9_0.9_mM_20,72h,MF,0.9,0.9_mM,20,0.126
72h_MF_0.9_0.9_mM_21,72h,MF,0.9,0.9_mM,21,0.213
72h_MF_0.9_0.9_mM_22,72h,MF,0.9,0.9_mM,22,0.175
72h_MF_0.9_0.9_mM_23,72h,MF,0.9,0.9_mM,23,0.318
72h_MF_0.9_0.9_mM_24,72h,MF,0.9,0.9_mM,24,0.194
72h_MF_0.9_0.9_mM_25,72h,MF,0.9,0.9_mM,25,0.229
72h_MF_0.9_0.9_mM_26,72h,MF,0.9,0.9_mM,26,0.243
72h_MF_0.9_0.9_mM_27,72h,MF,0.9,0.9_mM,27,0.227
72h_MF_0.9_0.9_mM_28,72h,MF,0.9,0.9_mM,28,0.247
72h_MF_0.9_0.9_mM_29,72h,MF,0.9,0.9_mM,29,0.237
72h_MF_0.9_0.9_mM_30,72h,MF,0.9,0.9_mM,30,0.171
