,Compounds,blanc1,blanc2,blanc3,QC1,QC2,QC3,1-MS-Shoot,2-MS-Shoot,3-MS-Shoot,4-MS-Root,5-MS-Root,6-MS-Root,7-MS-Glucose-Root,8-MS-Glucose-Root,9-MS-Glucose-Root,10-MS-3OMG-Root,11-MS-3OMG-Root,12-MS-3OMG-Root,13-MS-Glucose-3OMG-Root,14-MS-Glucose-3OMG-Root,15-MS-Glucose-3OMG-Root,16-CAS-Soil-Wash-Soil,17-CAS-Soil-Wash-Soil,18-CAS-Soil-Wash-Soil,19-Peat-Wash-Peat,20-Peat-Wash-Peat,21-Peat-Wash-Peat,22-Water-Control-Water,23-Water-Control-Water,24-Water-Control-Water,25-seedcoat Arabidopsis,26-seedcoat Arabidopsis,27-seedcoat Arabidopsis,28-Embryon Arabidopsis,29-Embryon Arabidopsis,30-Embryon Arabidopsis
147,Trehalose!2748.2/191_SUG,0.002514514,0.000521051,0.000350356,0.006694841,0.010778417,0.006726145,0.000742245,0.000288469,0.000928077,0.001503955,0.001530717,0.001761208,0.001890524,0.002866298,0.001445787,0.003535819,0.004392761,0.003478231,0.005578015,0.008408678,0.01106509,0.000638295,0.000654282,0.000353312,0.002607265,0.001506535,0.001761072,0.000346781,0.000193395,0.000174897,3.70929E-05,4.30515E-05,3.87123E-05,1.0563E-05,1.48017E-05,1.91488E-05
148,Gln$1bis!1532.2/155_AA,0,0,0,0.042330559,0.035305544,0.022882629,0.099248313,0.125393355,0.138404363,0.020585996,0.034574769,0.020139687,0.051459206,0.023577457,0.031746653,0.027048419,0.035138651,0.02077598,0.054272967,0.099145518,0.108418476,0.000313535,0.000321387,0,2.30676E-05,2.34558E-05,1.87247E-05,0,0.000453895,0,6.48431E-07,0,0,7.72336E-07,0,0
149,Ethanolamine-P!1784.5/299_PHOSPHO,0,0,0,0.008641355,0.015521384,0.011170062,0.002071362,0.002418047,0.002892059,0.006969887,0.011281851,0.008413849,0.00677828,0.007072738,0.005379005,0.006084882,0.00798219,0.004812393,0.011490876,0.021952554,0.02126253,0,0,0,0.00074249,0.000538511,0.000567781,0,0,0,1.04927E-05,5.921E-06,1.14671E-05,3.11178E-05,1.76512E-05,1.46613E-05
150,Palmiticacid!2046.1/313_FA,0.434809814,0.144237705,0.142565898,0.251836081,0.15085207,0.161007757,0.012255241,0.013162628,0.013474686,0.034574205,0.052325638,0.041864037,0.03322307,0.033698765,0.049380255,0.032759633,0.041025247,0.025405132,0.044260704,0.055639573,0.056003581,0.056619682,0.059746855,0.050923612,0.081094583,0.105217466,0.056559742,0.024839732,0.015403104,0.014445326,0.001065975,0.001031772,0.001339847,0.001330638,0.001157854,0.001349235
151,4-methylbenzoate!1375.8/193_OA,0,0,0,0.000580368,0.000311462,0.000448828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003443011,0.004656667,0.004703289,0.004938953,0.006963609,0.004268257,0.000837985,0.000255325,0.000428398,1.75656E-06,0,0,0,0,0
152,Glycerol-2-P!1727.9/299_PHOSPHO,0,0.000132494,0,0.001446947,0.001811427,0.002599605,0.000922,0.001147809,0.001511646,0.000281683,0.000920671,0.000637761,0.00043527,0.000661781,0.00053568,0.00055816,0.000352716,0.000183587,0.00030053,0.001424794,0.001461122,0,0,0,3.99493E-05,0,0,0,0,0,5.94241E-07,2.22705E-06,1.56781E-06,1.45376E-05,7.01291E-06,5.82081E-06
153,3-4-5-Trihydroxypentanoate!1659.6/335_OA,0,0,0,0.00065553,0.000718582,0.00112433,2.31773E-05,0,1.60619E-05,0.000543643,0.001003083,0.000672819,0.00097755,0.001045317,0.000511372,0.000488443,0.000534048,0.000399001,0.000692785,0.001475072,0.001561952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,4MTB!2723.4/61_GLUCOSINOLATE,0,0,0,0.004878616,0.008000936,0.009330462,0,0,5.82621E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02977E-05,6.65698E-05,0.000104483,0,0,0,0.000105223,3.70936E-05,6.08561E-05,0.003960218,0.002283269,0.003046169
155,Glucose-6-P$meox2!2342.5/299_PHOSPHO,0,0,0,0.002057674,0.001400404,0.002705696,0.000692951,0.00085046,0.000923226,0.00106453,0.001124151,0.000492358,0.001429282,0.001119765,0.000669751,0.000187419,0.000719119,0.000187856,0.001111069,0.002458006,0.002478563,0,0,0,4.30324E-05,5.00581E-05,3.23961E-05,0,0,0,3.14746E-06,1.62924E-06,7.10924E-07,1.24768E-05,3.28455E-06,6.35245E-06
156,Isomaltose$meox2!2908.6/361_SUG,1.40533E-05,0,5.5062E-05,0.007404137,0.012811802,0.014452511,0.002327396,0.002534486,0.002687947,0.00150515,0.002777378,0.001399538,0.002125029,0.001743641,0.001021767,0.001808663,0.001947373,0.001662277,0.001851216,0.004480769,0.004532651,0,5.63657E-05,9.97094E-06,0.000323281,0.000290478,3.10447E-05,2.00673E-05,0,7.61565E-06,5.85985E-05,6.04272E-05,6.3557E-05,0.000988695,0.000571184,0.000772496
157,bis-glycerol-P!2189.3/357_PHOSPHO,0,0,0,0.001172318,0.001160497,0.001960258,0.000524126,0.000599127,0.000638958,0.000327773,0.000625118,0.000238209,0.000890491,0.000637125,0.000363027,0.000380216,0.000226242,0.000258227,0.000888835,0.002231769,0.002124409,0,0,0,0,2.08278E-05,0,0,0,0,8.3257E-06,5.06499E-06,4.35385E-06,3.50051E-05,1.88488E-05,2.25327E-05
158,Asn$6(4tms)!1867.2/188_AA,5.224E-05,3.41691E-05,2.78928E-05,0.003776565,0.007203241,0.007012145,0.000924458,0.001052098,0.001273543,0.000949607,0.003139407,0.001049185,0.001541096,0.001355237,0.00127212,0.000889889,0.002039421,0.00111637,0.001616504,0.003369656,0.004666419,0.000363296,0.000376683,3.27862E-05,0.000161467,5.05053E-05,4.11771E-05,4.75045E-05,3.08739E-05,1.67661E-05,2.59853E-05,1.78142E-05,1.78041E-05,6.21038E-05,3.36498E-05,3.19552E-05
159,Aminomalonate$3tms!1468.9/218_OA,3.83121E-05,0.000108398,0.000951612,0.000751688,0.001359499,0.00087441,0.000337324,0.000357961,0.000352557,4.98819E-05,0.000131555,7.4257E-05,1.50401E-05,4.68604E-05,6.79696E-05,9.98016E-05,0.000113625,8.08014E-05,0.00011114,0.000134929,0.000206776,2.24966E-05,0.000129699,0.000119031,8.36544E-05,7.75169E-05,0.000191552,5.06221E-05,4.16736E-05,0.000111906,1.06324E-05,6.40246E-06,3.96016E-06,2.01992E-06,1.92169E-06,9.07845E-07
160,Tyrosine$3tms!1936.4/218_AA,0.001761269,0.002072604,0.001937794,0.025261345,0.047555567,0.048746946,0.007308796,0.008186786,0.008790887,0.009038901,0.020131259,0.010070267,0.009148331,0.008689565,0.012307614,0.006361182,0.008822596,0.006970693,0.012320009,0.025366451,0.027551582,0.000275024,0.000548608,0.000796521,0.001406735,0.001728888,0.002788384,0.001202471,0.000240835,0.00031293,0.000290829,0.000274874,0.000263095,0.000527239,0.000335891,0.000278571
161,Linolenicacid!2214.4/335_FA,4.32475E-05,0.000596203,0.00037425,0.001620234,0.003232392,0.002793729,0.001615892,0.001956733,0.002430497,0.001865039,0.001603085,0.001326877,0.001571758,0.001119852,0.000958582,0.001009937,0.001127277,0.000733932,0.001419018,0.001987544,0.00139841,7.70728E-05,4.66249E-05,0,7.51999E-05,5.84707E-05,0.001179066,5.29453E-05,1.54369E-05,0,1.54421E-05,1.35822E-05,1.41076E-05,9.41501E-06,6.09469E-06,1.11068E-05
162,UGlucosinolatebreakdown140!1504.6/140_GLUCOSINOLATE,0.216997657,0.239646172,0.263047912,0.001162798,0.002362142,0.001861138,0.002225699,0.002065238,0.002234586,0,0,0,1.81789E-05,0,0,0,0,0,0,0,0.000189701,0,0,0,0,0,0,0,0,0,1.54544E-05,1.62081E-05,4.49432E-06,3.70049E-05,2.21611E-05,1.73137E-05
163,Alcenenitrile!2511.8/55_APO,0.016326052,0.003789562,0.005988205,0.003534165,0.006512552,0.004072152,0.000192514,0.000177641,0.000122117,0.001058683,0.001261051,0.001343308,0.00085036,0.001432909,0.001469205,0.000919378,0.001920707,0.00084675,0.00045211,0.000997246,0.000988233,0.000562649,0.002129006,0.0004768,0.001123086,0.000769683,0.000350128,0.001342984,0.001638471,0.002622429,2.02355E-05,2.06854E-05,1.98351E-05,6.64883E-05,6.49994E-05,2.82223E-05
164,BenzoylX-Glucosinolate-3!3197/105_GLUCOSINOLATE,0.000386154,0.000772568,0.000587845,0.006847233,0.014102436,0.011891982,4.06801E-05,6.66043E-05,7.58763E-05,2.42763E-05,3.00104E-05,2.53738E-05,2.10615E-05,0,0,1.9619E-05,0,0,1.82636E-05,6.90708E-05,3.92489E-05,0,0,0,0.000169868,0.000176883,0.000247024,0,0,0,6.16803E-05,1.63189E-05,3.66756E-05,0.00447888,0.002169114,0.003124047
165,Maleate!1309.4/245_OA,0,0,0,0.001753221,0.003646028,0.003195536,0.002134192,0.002378147,0.003379398,0.00016687,6.10818E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014642,8.71399E-05,0.00013501,0,0,0,1.80745E-05,1.07175E-05,1.37403E-06,3.08132E-05,1.52563E-05,2.3827E-05
166,Asn$2!1498.7/243_AA,0,0,0,0.044780712,0.073514207,0.094222993,0.017369383,0.018535479,0.021417081,0.006923004,0.021548179,0.007843233,0.010873269,0.006827494,0.012566861,0.008493892,0.019891921,0.008332789,0.017944884,0.037397434,0.073778014,0,0,0,0,7.83659E-05,6.1656E-05,0,0,0,0.000313973,0.000198122,0.000208532,0.000744612,0.000414324,0.000514715
