	FEATURE_ID	FEATURE_ID2	Environment	Microbes	Compound	Labelled	Peak_Area	Peak_height
127	84_Cell_MF_MF	84_Cell_MF_MF_3OMG6P_C6	Cell	MF	3OMG6P_C6	Yes		#N/A
128	84_S_MF_MF	84_S_MF_MF_3OMG6P_C6	Supernatant	MF	3OMG6P_C6	Yes		#N/A
155	81_Cell_MF_MF	81_Cell_MF_MF_glucose_C0	Cell	MF	glucose_C0	No	3668228	198565
156	81_S_MF_MF	81_S_MF_MF_glucose_C0	Supernatant	MF	glucose_C0	No	3515126	292736
157	82_Cell_MF_MF	82_Cell_MF_MF_glucose_C0	Cell	MF	glucose_C0	No	3341517	191806
158	82_S_MF_MF	82_S_MF_MF_glucose_C0	Supernatant	MF	glucose_C0	No	1718246	150918
159	83_Cell_MF_MF	83_Cell_MF_MF_glucose_C0	Cell	MF	glucose_C0	No	4159758	214012
160	83_S_MF_MF	83_S_MF_MF_glucose_C0	Supernatant	MF	glucose_C0	No	6244585	516978
161	84_Cell_MF_MF	84_Cell_MF_MF_glucose_C0	Cell	MF	glucose_C0	No	4322257	218108
162	84_S_MF_MF	84_S_MF_MF_glucose_C0	Supernatant	MF	glucose_C0	No		#N/A
189	81_Cell_MF_MF	81_Cell_MF_MF_glucose_C6	Cell	MF	glucose_C6	Yes	18451703	1410251
190	81_S_MF_MF	81_S_MF_MF_glucose_C6	Supernatant	MF	glucose_C6	Yes	190166561	15708428
191	82_Cell_MF_MF	82_Cell_MF_MF_glucose_C6	Cell	MF	glucose_C6	Yes	6619365	514895
192	82_S_MF_MF	82_S_MF_MF_glucose_C6	Supernatant	MF	glucose_C6	Yes	190033252	16253738
193	83_Cell_MF_MF	83_Cell_MF_MF_glucose_C6	Cell	MF	glucose_C6	Yes	3385646	238883
194	83_S_MF_MF	83_S_MF_MF_glucose_C6	Supernatant	MF	glucose_C6	Yes	187175388	14777012
195	84_Cell_MF_MF	84_Cell_MF_MF_glucose_C6	Cell	MF	glucose_C6	Yes	3351540	258061
196	84_S_MF_MF	84_S_MF_MF_glucose_C6	Supernatant	MF	glucose_C6	Yes	207418356	16411081
223	81_Cell_MF_MF	81_Cell_MF_MF_lactic_C0	Cell	MF	lactic_C0	No	179393672	18052519
224	81_S_MF_MF	81_S_MF_MF_lactic_C0	Supernatant	MF	lactic_C0	No	14190302	1011451
225	82_Cell_MF_MF	82_Cell_MF_MF_lactic_C0	Cell	MF	lactic_C0	No	339721947	35078837
226	82_S_MF_MF	82_S_MF_MF_lactic_C0	Supernatant	MF	lactic_C0	No	10093712	696961
227	83_Cell_MF_MF	83_Cell_MF_MF_lactic_C0	Cell	MF	lactic_C0	No	186998235	18652927
228	83_S_MF_MF	83_S_MF_MF_lactic_C0	Supernatant	MF	lactic_C0	No	8310490	654038
229	84_Cell_MF_MF	84_Cell_MF_MF_lactic_C0	Cell	MF	lactic_C0	No	317847837	31487726
230	84_S_MF_MF	84_S_MF_MF_lactic_C0	Supernatant	MF	lactic_C0	No	10145973	735151
257	81_Cell_MF_MF	81_Cell_MF_MF_lactic_03	Cell	MF	lactic_03	Yes	19921129	875261
258	81_S_MF_MF	81_S_MF_MF_lactic_03	Supernatant	MF	lactic_03	Yes	143406354	4469969
259	82_Cell_MF_MF	82_Cell_MF_MF_lactic_03	Cell	MF	lactic_03	Yes	11991566	646093
260	82_S_MF_MF	82_S_MF_MF_lactic_03	Supernatant	MF	lactic_03	Yes	126729029	4017953
261	83_Cell_MF_MF	83_Cell_MF_MF_lactic_03	Cell	MF	lactic_03	Yes	18230117	951760
262	83_S_MF_MF	83_S_MF_MF_lactic_03	Supernatant	MF	lactic_03	Yes	119908347	3592118
263	84_Cell_MF_MF	84_Cell_MF_MF_lactic_03	Cell	MF	lactic_03	Yes	28860405	1387641
264	84_S_MF_MF	84_S_MF_MF_lactic_03	Supernatant	MF	lactic_03	Yes	124798113	3755642
291	81_Cell_MF_MF	81_Cell_MF_MF_3OMG_C0	Cell	MF	3OMG_C0	No		#N/A
292	81_S_MF_MF	81_S_MF_MF_3OMG_C0	Supernatant	MF	3OMG_C0	No	3711017	342149
293	82_Cell_MF_MF	82_Cell_MF_MF_3OMG_C0	Cell	MF	3OMG_C0	No		#N/A
294	82_S_MF_MF	82_S_MF_MF_3OMG_C0	Supernatant	MF	3OMG_C0	No	1599404	161187
295	83_Cell_MF_MF	83_Cell_MF_MF_3OMG_C0	Cell	MF	3OMG_C0	No		#N/A
296	83_S_MF_MF	83_S_MF_MF_3OMG_C0	Supernatant	MF	3OMG_C0	No	371608	43242
297	84_Cell_MF_MF	84_Cell_MF_MF_3OMG_C0	Cell	MF	3OMG_C0	No		#N/A
298	84_S_MF_MF	84_S_MF_MF_3OMG_C0	Supernatant	MF	3OMG_C0	No		#N/A
