	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S3	S4	S5	S6	S7	S8	S9
1539de3ced0b6f046d745540b3076ca5	1879.0	609.0	346.0	892.0	150.0	241.0	196.0	212.0	72.0	992.0	2754.0	762.0	1165.0	197.0	508.0	348.0	2698.0	0.0	379.0	425.0	0.0	694.0	196.0	0.0	73.0
46cd3ad3d272cce2b0ba563e9479ece1	9.0	2243.0	664.0	586.0	13.0	12.0	34.0	10.0	54.0	3233.0	151.0	607.0	0.0	8.0	55.0	191.0	195.0	2.0	143.0	27.0	128.0	1256.0	164.0	3463.0	1548.0
de6ea3d40abbb6bc2b46ffefc8aef22f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13812.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cded1d0b000ccc5d6421ada34e9a7f57	381.0	193.0	215.0	113.0	141.0	30.0	26.0	93.0	200.0	4625.0	2363.0	201.0	18.0	449.0	248.0	82.0	327.0	0.0	426.0	56.0	186.0	147.0	388.0	2457.0	68.0
bb328e60df766894fb6b11ea796b1b1d	267.0	1732.0	60.0	791.0	358.0	1016.0	254.0	43.0	0.0	873.0	0.0	573.0	0.0	0.0	0.0	818.0	1401.0	0.0	1616.0	78.0	178.0	1583.0	166.0	934.0	687.0
72e46adbcb33185185991a196229b3ea	31.0	518.0	291.0	331.0	1995.0	256.0	227.0	28.0	369.0	362.0	500.0	1338.0	3026.0	174.0	544.0	265.0	785.0	0.0	283.0	577.0	169.0	533.0	192.0	163.0	0.0
99716310648efededc781a1e3ee68c5d	16.0	440.0	1186.0	183.0	0.0	10.0	114.0	0.0	8.0	0.0	815.0	2916.0	0.0	3.0	82.0	205.0	701.0	0.0	2624.0	142.0	184.0	260.0	298.0	2537.0	0.0
3bf76e5ec034d949d41b41b8ef781dd6	14.0	0.0	18.0	20.0	4521.0	0.0	21.0	35.0	17.0	0.0	14.0	840.0	0.0	0.0	0.0	415.0	12.0	0.0	933.0	80.0	13.0	321.0	0.0	5421.0	0.0
ce67d4541fb0574410d93745c59ec5a3	941.0	37.0	0.0	465.0	0.0	0.0	0.0	0.0	993.0	767.0	415.0	0.0	0.0	240.0	0.0	1603.0	89.0	0.0	3816.0	46.0	0.0	563.0	2346.0	30.0	0.0
db69f867c7471c4a30100063782888a9	64.0	19.0	2243.0	0.0	21.0	872.0	0.0	253.0	0.0	212.0	679.0	266.0	197.0	0.0	0.0	67.0	97.0	0.0	0.0	39.0	84.0	5972.0	0.0	963.0	40.0
e1a35619095492485f7ce4cf6d8a1130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12030.0
4a9b8f40d0a350566929da9e1c8da6d4	1646.0	641.0	118.0	41.0	31.0	191.0	8.0	12.0	0.0	604.0	107.0	12.0	174.0	175.0	6787.0	101.0	484.0	0.0	183.0	0.0	0.0	167.0	117.0	12.0	7.0
aa65f6a5ce5329d59cd51393294ca429	0.0	0.0	240.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	193.0	153.0	2.0	0.0	377.0	0.0	168.0	0.0	9777.0	118.0
b895604afcf80382227590b7992d38b0	25.0	16.0	187.0	14.0	1404.0	17.0	18.0	15.0	5.0	14.0	0.0	18.0	0.0	0.0	16.0	98.0	12.0	0.0	414.0	156.0	0.0	18.0	70.0	8843.0	15.0
cd79627ff15d1c3e11f9fca57b9ae135	10.0	3127.0	174.0	822.0	0.0	239.0	190.0	7.0	14.0	1968.0	406.0	478.0	8.0	0.0	28.0	112.0	132.0	0.0	881.0	138.0	31.0	1266.0	137.0	655.0	509.0
9f1ff6c007ad70aabd00031e073e6ba8	0.0	0.0	1259.0	72.0	0.0	97.0	112.0	0.0	39.0	178.0	139.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	889.0	197.0	95.0	497.0	100.0	7569.0	0.0
3beaf239cec10850e891d3a495517c8d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11301.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6ee31cbe86d4db3d188de00f879505c8	0.0	4823.0	17.0	8.0	5.0	8.0	12.0	12.0	5.0	457.0	8.0	20.0	0.0	4.0	548.0	3981.0	5.0	0.0	12.0	4.0	304.0	6.0	523.0	15.0	0.0
9f610e0b488e63271229884ee76601e9	21.0	12.0	1745.0	1219.0	366.0	720.0	2855.0	26.0	0.0	8.0	16.0	8.0	0.0	376.0	942.0	989.0	1241.0	0.0	21.0	9.0	0.0	9.0	0.0	16.0	175.0
ce0322100f0397d9f2d04686a94094bc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10181.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9d103488c9020afde70908c7c6a9cbd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10085.0	0.0	0.0	0.0	0.0	0.0
cab201b0f5ce4130be2c9658ead85e96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9790.0	0.0	0.0	0.0	0.0	0.0	0.0
3f8e6dae5622440e4d5d7f32dedf65ef	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9541.0
0bf7f5e86267843e623871aaf423e057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0	0.0	0.0	0.0	0.0	646.0	0.0	0.0	4187.0	0.0	0.0	0.0	0.0	0.0	1552.0	2797.0	0.0
472b4da11ecbb51c6f376614d916ffd3	0.0	2527.0	0.0	512.0	295.0	1200.0	58.0	0.0	99.0	0.0	0.0	262.0	0.0	0.0	70.0	0.0	1331.0	0.0	2090.0	90.0	0.0	0.0	0.0	0.0	557.0
3fea48c662ca3de16039769b2ae05e1a	19.0	0.0	21.0	13.0	82.0	247.0	88.0	18.0	0.0	222.0	29.0	13.0	248.0	468.0	37.0	358.0	11.0	0.0	285.0	58.0	3.0	13.0	0.0	6513.0	129.0
20d978489c092a912a25d81303875544	0.0	0.0	0.0	0.0	0.0	0.0	8855.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
