Experiment,ID,Plant,Plant2,Microbes,Treatment,System,Bio_rep,Rep,Time,Nb,Root.length.Weight,Seeds
Thalianol,ThaH_F16_Water_Agar_Rep 1_13_1week,ThaH,ThaH,F16,Water,Agar,Rep 1,13,1week,NA,0.186,33
Thalianol,Col0_F16_Water_Agar_Rep 1_3_72h,Col0,Col0,F16,Water,Agar,Rep 1,3,72h,NA,0.187,30
Thalianol,ThaS2_F16_Water_Agar_Rep 1_14_72h,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,14,72h,NA,0.187,30
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_1_2weeks,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,1,2weeks,NA,0.188,34
Thalianol,Col0_MF_3OMG_Agar_Rep 1_22_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,22,72h,NA,0.189,31
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_3_2weeks,ThaD,ThaD,MF,3OMG,Agar,Rep 1,3,2weeks,NA,0.189,27
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_5_1week,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,5,1week,NA,0.189,37
Thalianol,ThaS2_F16_Water_Agar_Rep 1_27_2weeks,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,27,2weeks,NA,0.189,30
Thalianol,ThaS2_MF_Water_Agar_Rep 1_28_72h,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,28,72h,NA,0.19,45
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_3_72h,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,3,72h,NA,0.191,37
Thalianol,Col0_MF_3OMG_Agar_Rep 1_9_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,9,72h,NA,0.192,31
Thalianol,ThaH_F16_3OMG_Agar_Rep 1_4_72h,ThaH,ThaH,F16,3OMG,Agar,Rep 1,4,72h,NA,0.192,33
Thalianol,ThaH_MF_Water_Agar_Rep 1_5_2weeks,ThaH,ThaH,MF,Water,Agar,Rep 1,5,2weeks,NA,0.192,31
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_6_72h,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,6,72h,NA,0.192,37
Thalianol,Col0_MF_Water_Agar_Rep 1_19_72h,Col0,Col0,MF,Water,Agar,Rep 1,19,72h,NA,0.193,43
Thalianol,ThaD_F16_Water_Agar_Rep 1_9_72h,ThaD,ThaD,F16,Water,Agar,Rep 1,9,72h,NA,0.193,21
Thalianol,ThaH_F16_3OMG_Agar_Rep 1_2_1week,ThaH,ThaH,F16,3OMG,Agar,Rep 1,2,1week,NA,0.193,33
Thalianol,Col0_MF_Water_Agar_Rep 1_7_72h,Col0,Col0,MF,Water,Agar,Rep 1,7,72h,NA,0.194,43
Thalianol,ThaS2_MF_Water_Agar_Rep 1_31_72h,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,31,72h,NA,0.194,45
Thalianol,Col0_MF_Water_Agar_Rep 1_24_72h,Col0,Col0,MF,Water,Agar,Rep 1,24,72h,NA,0.195,43
Thalianol,Col0_MF_Water_Agar_Rep 1_36_72h,Col0,Col0,MF,Water,Agar,Rep 1,36,72h,NA,0.195,43
Thalianol,Col0_F16_Water_Agar_Rep 1_16_1week,Col0,Col0,F16,Water,Agar,Rep 1,16,1week,NA,0.195,30
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_19_2weeks,ThaD,ThaD,MF,3OMG,Agar,Rep 1,19,2weeks,NA,0.195,27
Thalianol,Col0_MF_Water_Agar_Rep 1_27_72h,Col0,Col0,MF,Water,Agar,Rep 1,27,72h,NA,0.196,43
Thalianol,Col0_F16_3OMG_Agar_Rep 1_5_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,5,72h,NA,0.196,34
Thalianol,Col0_F16_3OMG_Agar_Rep 1_10_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,10,72h,NA,0.196,34
Thalianol,Col0_MF_3OMG_Agar_Rep 1_7_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,7,72h,NA,0.197,31
Thalianol,Col0_MF_Water_Agar_Rep 1_26_72h,Col0,Col0,MF,Water,Agar,Rep 1,26,72h,NA,0.198,43
Thalianol,ThaS2_MF_Water_Agar_Rep 1_37_72h,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,37,72h,NA,0.198,45
Thalianol,Col0_F16_3OMG_Agar_Rep 1_17_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,17,72h,NA,0.199,34
Thalianol,Col0_MF_3OMG_Agar_Rep 1_25_1week,Col0,Col0,MF,3OMG,Agar,Rep 1,25,1week,NA,0.199,31
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_4_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,4,72h,NA,0.199,34
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_14_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,14,72h,NA,0.199,34
Thalianol,ThaD_F16_3OMG_Agar_Rep 1_18_2weeks,ThaD,ThaD,F16,3OMG,Agar,Rep 1,18,2weeks,NA,0.2,27
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_16_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,16,72h,NA,0.2,34
Thalianol,Col0_F16_Water_Agar_Rep 1_16_72h,Col0,Col0,F16,Water,Agar,Rep 1,16,72h,NA,0.201,30
Thalianol,Col0_F16_Water_Agar_Rep 1_4_1week,Col0,Col0,F16,Water,Agar,Rep 1,4,1week,NA,0.201,30
Thalianol,ThaH_MF_3OMG_Agar_Rep 1_5_2weeks,ThaH,ThaH,MF,3OMG,Agar,Rep 1,5,2weeks,NA,0.201,31
Thalianol,ThaS2_F16_Water_Agar_Rep 1_13_72h,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,13,72h,NA,0.201,30
Thalianol,ThaS2_MF_Water_Agar_Rep 1_5_1week,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,5,1week,NA,0.201,45
Thalianol,ThaH_F16_Water_Agar_Rep 1_1_72h,ThaH,ThaH,F16,Water,Agar,Rep 1,1,72h,NA,0.202,33
Thalianol,ThaD_F16_Water_Agar_Rep 1_4_72h,ThaD,ThaD,F16,Water,Agar,Rep 1,4,72h,NA,0.203,21
Thalianol,ThaS2_F16_Water_Agar_Rep 1_3_2weeks,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,3,2weeks,NA,0.203,30
Thalianol,ThaS2_F16_Water_Agar_Rep 1_28_2weeks,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,28,2weeks,NA,0.203,30
Thalianol,Col0_MF_Water_Agar_Rep 1_11_72h,Col0,Col0,MF,Water,Agar,Rep 1,11,72h,NA,0.204,43
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_15_72h,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,15,72h,NA,0.204,37
Thalianol,Col0_MF_3OMG_Agar_Rep 1_4_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,4,72h,NA,0.205,31
Thalianol,Col0_MF_3OMG_Agar_Rep 1_5_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,5,72h,NA,0.205,31
Thalianol,Col0_MF_3OMG_Agar_Rep 1_24_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,24,72h,NA,0.205,31
Thalianol,Col0_MF_Water_Agar_Rep 1_27_2weeks,Col0,Col0,MF,Water,Agar,Rep 1,27,2weeks,NA,0.205,43
Thalianol,Col0_MF_3OMG_Agar_Rep 1_8_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,8,72h,NA,0.206,31
Thalianol,Col0_MF_3OMG_Agar_Rep 1_16_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,16,72h,NA,0.206,31
Thalianol,ThaD_MF_Water_Agar_Rep 1_20_72h,ThaD,ThaD,MF,Water,Agar,Rep 1,20,72h,NA,0.206,39
Thalianol,ThaH_F16_3OMG_Agar_Rep 1_2_72h,ThaH,ThaH,F16,3OMG,Agar,Rep 1,2,72h,NA,0.206,33
Thalianol,ThaS2_F16_Water_Agar_Rep 1_2_72h,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,2,72h,NA,0.206,30
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_10_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,10,72h,NA,0.206,34
Thalianol,ThaS2_F16_Water_Agar_Rep 1_10_72h,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,10,72h,NA,0.207,30
Thalianol,ThaS2_MF_Water_Agar_Rep 1_37_1week,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,37,1week,NA,0.207,45
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_15_1week,ThaD,ThaD,MF,3OMG,Agar,Rep 1,15,1week,NA,0.208,27
Thalianol,Col0_MF_Water_Agar_Rep 1_18_72h,Col0,Col0,MF,Water,Agar,Rep 1,18,72h,NA,0.209,43
Thalianol,Col0_F16_Water_Agar_Rep 1_24_72h,Col0,Col0,F16,Water,Agar,Rep 1,24,72h,NA,0.209,30
Thalianol,Col0_F16_3OMG_Agar_Rep 1_22_1week,Col0,Col0,F16,3OMG,Agar,Rep 1,22,1week,NA,0.209,34
Thalianol,Col0_MF_Water_Agar_Rep 1_28_2weeks,Col0,Col0,MF,Water,Agar,Rep 1,28,2weeks,NA,0.209,43
Thalianol,ThaD_F16_Water_Agar_Rep 1_12_2weeks,ThaD,ThaD,F16,Water,Agar,Rep 1,12,2weeks,NA,0.209,21
Thalianol,Col0_MF_3OMG_Agar_Rep 1_15_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,15,72h,NA,0.211,31
Thalianol,Col0_MF_3OMG_Agar_Rep 1_19_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,19,72h,NA,0.211,31
Thalianol,ThaD_MF_Water_Agar_Rep 1_17_72h,ThaD,ThaD,MF,Water,Agar,Rep 1,17,72h,NA,0.211,39
Thalianol,ThaH_F16_Water_Agar_Rep 1_9_2weeks,ThaH,ThaH,F16,Water,Agar,Rep 1,9,2weeks,NA,0.211,33
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_9_72h,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,9,72h,NA,0.211,37
Thalianol,Col0_F16_Water_Agar_Rep 1_15_72h,Col0,Col0,F16,Water,Agar,Rep 1,15,72h,NA,0.212,30
Thalianol,Col0_MF_Water_Agar_Rep 1_3_72h,Col0,Col0,MF,Water,Agar,Rep 1,3,72h,NA,0.213,43
Thalianol,Col0_F16_3OMG_Agar_Rep 1_12_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,12,72h,NA,0.214,34
Thalianol,ThaH_MF_Water_Agar_Rep 1_3_2weeks,ThaH,ThaH,MF,Water,Agar,Rep 1,3,2weeks,NA,0.214,31
Thalianol,ThaS2_F16_Water_Agar_Rep 1_15_72h,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,15,72h,NA,0.215,30
Thalianol,Col0_MF_3OMG_Agar_Rep 1_6_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,6,72h,NA,0.216,31
Thalianol,Col0_F16_3OMG_Agar_Rep 1_7_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,7,72h,NA,0.217,34
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_8_2weeks,ThaD,ThaD,MF,3OMG,Agar,Rep 1,8,2weeks,NA,0.217,27
Thalianol,Col0_F16_Water_Agar_Rep 1_12_1week,Col0,Col0,F16,Water,Agar,Rep 1,12,1week,NA,0.218,30
Thalianol,Col0_F16_3OMG_Agar_Rep 1_6_1week,Col0,Col0,F16,3OMG,Agar,Rep 1,6,1week,NA,0.218,34
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_9_72h,ThaD,ThaD,MF,3OMG,Agar,Rep 1,9,72h,NA,0.218,27
Thalianol,ThaH_MF_3OMG_Agar_Rep 1_12_2weeks,ThaH,ThaH,MF,3OMG,Agar,Rep 1,12,2weeks,NA,0.218,31
Thalianol,ThaD_F16_Water_Agar_Rep 1_4_2weeks,ThaD,ThaD,F16,Water,Agar,Rep 1,4,2weeks,NA,0.219,21
Thalianol,ThaD_F16_Water_Agar_Rep 1_19_1week,ThaD,ThaD,F16,Water,Agar,Rep 1,19,1week,NA,0.22,21
Thalianol,ThaH_F16_Water_Agar_Rep 1_7_2weeks,ThaH,ThaH,F16,Water,Agar,Rep 1,7,2weeks,NA,0.22,33
Thalianol,Col0_F16_3OMG_Agar_Rep 1_13_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,13,72h,NA,0.221,34
Thalianol,Col0_MF_Water_Agar_Rep 1_15_1week,Col0,Col0,MF,Water,Agar,Rep 1,15,1week,NA,0.221,43
Thalianol,ThaS2_F16_Water_Agar_Rep 1_4_72h,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,4,72h,NA,0.221,30
Thalianol,Col0_F16_Water_Agar_Rep 1_10_72h,Col0,Col0,F16,Water,Agar,Rep 1,10,72h,NA,0.222,30
Thalianol,Col0_F16_3OMG_Agar_Rep 1_9_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,9,72h,NA,0.222,34
Thalianol,ThaH_MF_Water_Agar_Rep 1_19_1week,ThaH,ThaH,MF,Water,Agar,Rep 1,19,1week,NA,0.222,31
Thalianol,Col0_MF_Water_Agar_Rep 1_20_72h,Col0,Col0,MF,Water,Agar,Rep 1,20,72h,NA,0.223,43
Thalianol,ThaD_MF_Water_Agar_Rep 1_10_1week,ThaD,ThaD,MF,Water,Agar,Rep 1,10,1week,NA,0.224,39
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_19_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,19,72h,NA,0.224,34
Thalianol,Col0_F16_Water_Agar_Rep 1_14_72h,Col0,Col0,F16,Water,Agar,Rep 1,14,72h,NA,0.225,30
Thalianol,ThaD_F16_Water_Agar_Rep 1_7_72h,ThaD,ThaD,F16,Water,Agar,Rep 1,7,72h,NA,0.225,21
Thalianol,Col0_MF_3OMG_Agar_Rep 1_14_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,14,72h,NA,0.226,31
Thalianol,Col0_F16_3OMG_Agar_Rep 1_16_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,16,72h,NA,0.227,34
Thalianol,Col0_F16_3OMG_Agar_Rep 1_22_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,22,72h,NA,0.227,34
Thalianol,Col0_MF_Water_Agar_Rep 1_28_72h,Col0,Col0,MF,Water,Agar,Rep 1,28,72h,NA,0.228,43
Thalianol,Col0_F16_Water_Agar_Rep 1_17_72h,Col0,Col0,F16,Water,Agar,Rep 1,17,72h,NA,0.228,30
Thalianol,Col0_F16_Water_Agar_Rep 1_21_1week,Col0,Col0,F16,Water,Agar,Rep 1,21,1week,NA,0.228,30
Thalianol,ThaS2_F16_Water_Agar_Rep 1_30_2weeks,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,30,2weeks,NA,0.228,30
Thalianol,Col0_MF_Water_Agar_Rep 1_6_72h,Col0,Col0,MF,Water,Agar,Rep 1,6,72h,NA,0.229,43
Thalianol,Col0_F16_Water_Agar_Rep 1_1_72h,Col0,Col0,F16,Water,Agar,Rep 1,1,72h,NA,0.229,30
Thalianol,Col0_F16_3OMG_Agar_Rep 1_4_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,4,72h,NA,0.229,34
Thalianol,Col0_F16_Water_Agar_Rep 1_10_1week,Col0,Col0,F16,Water,Agar,Rep 1,10,1week,NA,0.229,30
Thalianol,Col0_MF_Water_Agar_Rep 1_22_72h,Col0,Col0,MF,Water,Agar,Rep 1,22,72h,NA,0.23,43
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_17_1week,ThaD,ThaD,MF,3OMG,Agar,Rep 1,17,1week,NA,0.23,27
Thalianol,ThaS2_F16_Water_Agar_Rep 1_12_72h,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,12,72h,NA,0.23,30
Thalianol,Col0_F16_3OMG_Agar_Rep 1_3_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,3,72h,NA,0.231,34
Thalianol,Col0_MF_3OMG_Agar_Rep 1_7_2weeks,Col0,Col0,MF,3OMG,Agar,Rep 1,7,2weeks,NA,0.231,31
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_6_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,6,72h,NA,0.231,34
Thalianol,ThaS2_MF_Water_Agar_Rep 1_1_1week,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,1,1week,NA,0.231,45
Thalianol,Col0_F16_Water_Agar_Rep 1_27_2weeks,Col0,Col0,F16,Water,Agar,Rep 1,27,2weeks,NA,0.232,30
Thalianol,ThaS2_MF_Water_Agar_Rep 1_43_2weeks,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,43,2weeks,NA,0.232,45
Thalianol,Col0_MF_3OMG_Agar_Rep 1_4_2weeks,Col0,Col0,MF,3OMG,Agar,Rep 1,4,2weeks,NA,0.233,31
Thalianol,ThaS2_F16_Water_Agar_Rep 1_19_1week,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,19,1week,NA,0.233,30
Thalianol,Col0_MF_Water_Agar_Rep 1_16_72h,Col0,Col0,MF,Water,Agar,Rep 1,16,72h,NA,0.234,43
Thalianol,Col0_F16_Water_Agar_Rep 1_7_72h,Col0,Col0,F16,Water,Agar,Rep 1,7,72h,NA,0.234,30
Thalianol,Col0_MF_Water_Agar_Rep 1_10_72h,Col0,Col0,MF,Water,Agar,Rep 1,10,72h,NA,0.235,43
