	Strain	Strain2	Media	Pqq	Plate	Well	OD600	Fluorescens	Rep
66	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	3	P1	F6	0.097900003	307	R1
253	D1_Mu36	R329_pqqf_2	 M9_3OMG 	30	P3	F7	0.083400004	153	R1
831	D1_Mu36	R329_pqqf_2	 M9_3OMG 	30	P3	F7	0.082800001	153	R3
833	D1_Mu36	R329_pqqf_2	 M9_3OMG 	30	P3	F9	0.080899999	153	R3
254	D1_Mu36	R329_pqqf_2	 M9_3OMG 	30	P3	F8	0.082900003	155	R1
832	D1_Mu36	R329_pqqf_2	 M9_3OMG 	30	P3	F8	0.0814	158	R3
255	D1_Mu36	R329_pqqf_2	 M9_3OMG 	30	P3	F9	0.083899997	160	R1
639	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	30	P1	F9	0.102899998	237	R3
638	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	30	P1	F8	0.093599997	241	R3
637	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	30	P1	F7	0.094700001	274	R3
69	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	30	P1	F9	0.100000001	290	R1
67	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	30	P1	F7	0.103500001	350	R1
68	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	30	P1	F8	0.101800002	367	R1
258	D1_Mu36	R329_pqqf_2	 M9_3OMG 	300	P3	F12	0.084799998	146	R1
834	D1_Mu36	R329_pqqf_2	 M9_3OMG 	300	P3	F10	0.081299998	150	R3
835	D1_Mu36	R329_pqqf_2	 M9_3OMG 	300	P3	F11	0.082099997	151	R3
836	D1_Mu36	R329_pqqf_2	 M9_3OMG 	300	P3	F12	0.082699999	153	R3
257	D1_Mu36	R329_pqqf_2	 M9_3OMG 	300	P3	F11	0.083700001	154	R1
256	D1_Mu36	R329_pqqf_2	 M9_3OMG 	300	P3	F10	0.084200002	158	R1
641	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	300	P1	F11	0.088200003	216	R3
642	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	300	P1	F12	0.089699998	226	R3
70	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	300	P1	F10	0.096600004	317	R1
71	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	300	P1	F11	0.098499998	354	R1
640	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	300	P1	F10	0.092200004	412	R3
72	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	300	P1	F12	0.112999998	562	R1
740	D1_Mu36	R329_pqqf_2	 M9_3OMG 	3000	P2	F12	0.114299998	150	R3
739	D1_Mu36	R329_pqqf_2	 M9_3OMG 	3000	P2	F11	0.089699998	151	R3
168	D1_Mu36	R329_pqqf_2	 M9_3OMG 	3000	P2	F12	0.085299999	153	R1
167	D1_Mu36	R329_pqqf_2	 M9_3OMG 	3000	P2	F11	0.084600002	157	R1
738	D1_Mu36	R329_pqqf_2	 M9_3OMG 	3000	P2	F10	0.102100002	163	R3
166	D1_Mu36	R329_pqqf_2	 M9_3OMG 	3000	P2	F10	0.107800004	165	R1
730	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	3000	P2	F2	0.115099996	302	R3
729	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	3000	P2	F1	0.119099997	369	R3
731	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	3000	P2	F3	0.117799997	334	R3
157	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	3000	P2	F1	0.118900001	397	R1
159	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	3000	P2	F3	0.119099997	465	R1
158	D1_Mu36	R329_pqqf_2	 M9_3OMG_F16 	3000	P2	F2	0.113799997	559	R1
765	 R329 	R329_Wt	 M9_3OMG 	0	P3	A1	0.081500001	121	R3
188	 R329 	R329_Wt	 M9_3OMG 	0	P3	A2	0.0933	155	R1
189	 R329 	R329_Wt	 M9_3OMG 	0	P3	A3	0.086800002	157	R1
767	 R329 	R329_Wt	 M9_3OMG 	0	P3	A3	0.0867	160	R3
476	 R329 	R329_Wt	 M9_3OMG 	0	P3	A2	0.0823	161	R2
477	 R329 	R329_Wt	 M9_3OMG 	0	P3	A3	0.082099997	162	R2
475	 R329 	R329_Wt	 M9_3OMG 	0	P3	A1	0.084399998	163	R2
187	 R329 	R329_Wt	 M9_3OMG 	0	P3	A1	0.0889	165	R1
766	 R329 	R329_Wt	 M9_3OMG 	0	P3	A2	0.088699996	165	R3
573	 R329 	R329_Wt	 M9_3OMG_F16 	0	P1	A3	0.132100001	410	R3
284	 R329 	R329_Wt	 M9_3OMG_F16 	0	P1	A2	0.154799998	425	R2
572	 R329 	R329_Wt	 M9_3OMG_F16 	0	P1	A2	0.134800002	429	R3
285	 R329 	R329_Wt	 M9_3OMG_F16 	0	P1	A3	0.150000006	431	R2
283	 R329 	R329_Wt	 M9_3OMG_F16 	0	P1	A1	0.161200002	437	R2
3	 R329 	R329_Wt	 M9_3OMG_F16 	0	P1	A3	0.110399999	465	R1
2	 R329 	R329_Wt	 M9_3OMG_F16 	0	P1	A2	0.112599999	474	R1
1	 R329 	R329_Wt	 M9_3OMG_F16 	0	P1	A1	0.121600002	528	R1
571	 R329 	R329_Wt	 M9_3OMG_F16 	0	P1	A1	0.166600004	743	R3
190	 R329 	R329_Wt	 M9_3OMG 	3	P3	A4	0.086599998	156	R1
191	 R329 	R329_Wt	 M9_3OMG 	3	P3	A5	0.0858	156	R1
192	 R329 	R329_Wt	 M9_3OMG 	3	P3	A6	0.086199999	156	R1
478	 R329 	R329_Wt	 M9_3OMG 	3	P3	A4	0.082099997	159	R2
769	 R329 	R329_Wt	 M9_3OMG 	3	P3	A5	0.087399997	159	R3
770	 R329 	R329_Wt	 M9_3OMG 	3	P3	A6	0.087300003	159	R3
768	 R329 	R329_Wt	 M9_3OMG 	3	P3	A4	0.085699998	160	R3
480	 R329 	R329_Wt	 M9_3OMG 	3	P3	A6	0.081600003	163	R2
479	 R329 	R329_Wt	 M9_3OMG 	3	P3	A5	0.081100002	165	R2
576	 R329 	R329_Wt	 M9_3OMG_F16 	3	P1	A6	0.125400007	352	R3
574	 R329 	R329_Wt	 M9_3OMG_F16 	3	P1	A4	0.123400003	360	R3
288	 R329 	R329_Wt	 M9_3OMG_F16 	3	P1	A6	0.138699993	373	R2
575	 R329 	R329_Wt	 M9_3OMG_F16 	3	P1	A5	0.126499996	375	R3
287	 R329 	R329_Wt	 M9_3OMG_F16 	3	P1	A5	0.138300002	379	R2
286	 R329 	R329_Wt	 M9_3OMG_F16 	3	P1	A4	0.143600002	390	R2
5	 R329 	R329_Wt	 M9_3OMG_F16 	3	P1	A5	0.114500001	431	R1
4	 R329 	R329_Wt	 M9_3OMG_F16 	3	P1	A4	0.109999999	450	R1
6	 R329 	R329_Wt	 M9_3OMG_F16 	3	P1	A6	0.112099998	493	R1
194	 R329 	R329_Wt	 M9_3OMG 	30	P3	A8	0.085699998	152	R1
193	 R329 	R329_Wt	 M9_3OMG 	30	P3	A7	0.085600004	155	R1
195	 R329 	R329_Wt	 M9_3OMG 	30	P3	A9	0.086000003	157	R1
483	 R329 	R329_Wt	 M9_3OMG 	30	P3	A9	0.083700001	161	R2
481	 R329 	R329_Wt	 M9_3OMG 	30	P3	A7	0.082500003	162	R2
771	 R329 	R329_Wt	 M9_3OMG 	30	P3	A7	0.088500001	162	R3
772	 R329 	R329_Wt	 M9_3OMG 	30	P3	A8	0.088200003	162	R3
482	 R329 	R329_Wt	 M9_3OMG 	30	P3	A8	0.082900003	163	R2
773	 R329 	R329_Wt	 M9_3OMG 	30	P3	A9	0.090499997	171	R3
578	 R329 	R329_Wt	 M9_3OMG_F16 	30	P1	A8	0.120700002	338	R3
577	 R329 	R329_Wt	 M9_3OMG_F16 	30	P1	A7	0.120099999	363	R3
290	 R329 	R329_Wt	 M9_3OMG_F16 	30	P1	A8	0.137400001	373	R2
291	 R329 	R329_Wt	 M9_3OMG_F16 	30	P1	A9	0.137999997	379	R2
289	 R329 	R329_Wt	 M9_3OMG_F16 	30	P1	A7	0.138300002	386	R2
579	 R329 	R329_Wt	 M9_3OMG_F16 	30	P1	A9	0.122400001	421	R3
9	 R329 	R329_Wt	 M9_3OMG_F16 	30	P1	A9	0.115800001	461	R1
7	 R329 	R329_Wt	 M9_3OMG_F16 	30	P1	A7	0.118299998	530	R1
8	 R329 	R329_Wt	 M9_3OMG_F16 	30	P1	A8	0.120499998	324	R1
196	 R329 	R329_Wt	 M9_3OMG 	300	P3	A10	0.086499996	156	R1
197	 R329 	R329_Wt	 M9_3OMG 	300	P3	A11	0.086499996	157	R1
775	 R329 	R329_Wt	 M9_3OMG 	300	P3	A11	0.091799997	162	R3
486	 R329 	R329_Wt	 M9_3OMG 	300	P3	A12	0.086000003	163	R2
774	 R329 	R329_Wt	 M9_3OMG 	300	P3	A10	0.093199998	164	R3
484	 R329 	R329_Wt	 M9_3OMG 	300	P3	A10	0.0832	165	R2
198	 R329 	R329_Wt	 M9_3OMG 	300	P3	A12	0.087099999	169	R1
485	 R329 	R329_Wt	 M9_3OMG 	300	P3	A11	0.085100003	170	R2
776	 R329 	R329_Wt	 M9_3OMG 	300	P3	A12	0.114399999	204	R3
292	 R329 	R329_Wt	 M9_3OMG_F16 	300	P1	A10	0.1417	368	R2
293	 R329 	R329_Wt	 M9_3OMG_F16 	300	P1	A11	0.133399993	371	R2
580	 R329 	R329_Wt	 M9_3OMG_F16 	300	P1	A10	0.126900002	373	R3
294	 R329 	R329_Wt	 M9_3OMG_F16 	300	P1	A12	0.138099998	376	R2
581	 R329 	R329_Wt	 M9_3OMG_F16 	300	P1	A11	0.131200001	394	R3
582	 R329 	R329_Wt	 M9_3OMG_F16 	300	P1	A12	0.133499995	420	R3
10	 R329 	R329_Wt	 M9_3OMG_F16 	300	P1	A10	0.117700003	469	R1
11	 R329 	R329_Wt	 M9_3OMG_F16 	300	P1	A11	0.115199998	473	R1
12	 R329 	R329_Wt	 M9_3OMG_F16 	300	P1	A12	0.124700002	504	R1
678	 R329 	R329_Wt	 M9_3OMG 	3000	P2	A12	0.152999997	158	R3
108	 R329 	R329_Wt	 M9_3OMG 	3000	P2	A12	0.090899996	161	R1
677	 R329 	R329_Wt	 M9_3OMG 	3000	P2	A11	0.129299998	164	R3
107	 R329 	R329_Wt	 M9_3OMG 	3000	P2	A11	0.093500003	166	R1
390	 R329 	R329_Wt	 M9_3OMG 	3000	P2	A12	0.093999997	168	R2
676	 R329 	R329_Wt	 M9_3OMG 	3000	P2	A10	0.1646	174	R3
106	 R329 	R329_Wt	 M9_3OMG 	3000	P2	A10	0.104199998	175	R1
389	 R329 	R329_Wt	 M9_3OMG 	3000	P2	A11	0.107699998	176	R2
388	 R329 	R329_Wt	 M9_3OMG 	3000	P2	A10	0.113300003	193	R2
668	 R329 	R329_Wt	 M9_3OMG_F16 	3000	P2	A2	0.1373	453	R3
669	 R329 	R329_Wt	 M9_3OMG_F16 	3000	P2	A3	0.145199999	495	R3
380	 R329 	R329_Wt	 M9_3OMG_F16 	3000	P2	A2	0.155100003	512	R2
98	 R329 	R329_Wt	 M9_3OMG_F16 	3000	P2	A2	0.1382	554	R1
379	 R329 	R329_Wt	 M9_3OMG_F16 	3000	P2	A1	0.153600007	554	R2
99	 R329 	R329_Wt	 M9_3OMG_F16 	3000	P2	A3	0.143700004	608	R1
381	 R329 	R329_Wt	 M9_3OMG_F16 	3000	P2	A3	0.173299998	608	R2
667	 R329 	R329_Wt	 M9_3OMG_F16 	3000	P2	A1	0.137700006	627	R3
97	 R329 	R329_Wt	 M9_3OMG_F16 	3000	P2	A1	0.134399995	741	R1
837	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	0	P3	G1	0.081799999	153	R3
259	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	0	P3	G1	0.092500001	172	R1
536	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	0	P3	F2	0.086999997	174	R2
547	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	0	P3	G1	0.0858	174	R2
548	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	0	P3	G2	0.090899996	174	R2
839	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	0	P3	G3	0.102300003	175	R3
261	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	0	P3	G3	0.091700003	177	R1
535	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	0	P3	F1	0.084200002	177	R2
537	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	0	P3	F3	0.090999998	177	R2
260	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	0	P3	G2	0.0902	180	R1
838	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	0	P3	G2	0.1162	180	R3
549	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	0	P3	G3	0.092100002	181	R2
344	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	0	P1	F2	0.147499993	390	R2
345	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	0	P1	F3	0.148300007	394	R2
357	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	0	P1	G3	0.157399997	405	R2
356	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	0	P1	G2	0.159500003	414	R2
343	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	0	P1	F1	0.160999998	444	R2
645	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	0	P1	G3	0.141000003	445	R3
355	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	0	P1	G1	0.157800004	463	R2
643	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	0	P1	G1	0.146699995	502	R3
644	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	0	P1	G2	0.147100002	502	R3
74	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	0	P1	G2	0.123499997	530	R1
75	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	0	P1	G3	0.123000003	616	R1
73	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	0	P1	G1	0.133100003	660	R1
550	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3	P3	G4	0.083899997	169	R2
539	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3	P3	F5	0.081699997	170	R2
538	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3	P3	F4	0.082900003	171	R2
551	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3	P3	G5	0.083300002	172	R2
540	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3	P3	F6	0.082900003	174	R2
840	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3	P3	G4	0.091399997	174	R3
842	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3	P3	G6	0.089900002	174	R3
262	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3	P3	G4	0.091799997	175	R1
263	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3	P3	G5	0.090000004	175	R1
841	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3	P3	G5	0.089500003	176	R3
264	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3	P3	G6	0.090599999	177	R1
552	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3	P3	G6	0.082199998	177	R2
347	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3	P1	F5	0.144899994	372	R2
359	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3	P1	G5	0.148000002	375	R2
346	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3	P1	F4	0.1505	381	R2
360	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3	P1	G6	0.149299994	383	R2
348	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3	P1	F6	0.144700006	396	R2
358	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3	P1	G4	0.157499999	416	R2
647	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3	P1	G5	0.135299996	449	R3
648	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3	P1	G6	0.138699993	466	R3
646	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3	P1	G4	0.135299996	467	R3
78	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3	P1	G6	0.1215	508	R1
77	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3	P1	G5	0.122599997	509	R1
76	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3	P1	G4	0.124499999	521	R1
542	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	30	P3	F8	0.086999997	168	R2
541	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	30	P3	F7	0.082699999	169	R2
543	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	30	P3	F9	0.084200002	171	R2
266	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	30	P3	G8	0.090700001	172	R1
554	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	30	P3	G8	0.082999997	172	R2
267	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	30	P3	G9	0.090700001	174	R1
553	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	30	P3	G7	0.082199998	175	R2
843	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	30	P3	G7	0.088500001	175	R3
265	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	30	P3	G7	0.090599999	176	R1
555	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	30	P3	G9	0.083700001	176	R2
845	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	30	P3	G9	0.088100001	176	R3
844	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	30	P3	G8	0.092600003	179	R3
349	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	30	P1	F7	0.149100006	365	R2
363	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	30	P1	G9	0.141499996	373	R2
350	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	30	P1	F8	0.140300006	375	R2
351	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	30	P1	F9	0.144500002	384	R2
361	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	30	P1	G7	0.148100004	389	R2
362	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	30	P1	G8	0.148499995	422	R2
651	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	30	P1	G9	0.137999997	455	R3
650	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	30	P1	G8	0.139799997	488	R3
649	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	30	P1	G7	0.138899997	511	R3
79	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	30	P1	G7	0.124499999	512	R1
81	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	30	P1	G9	0.124799997	514	R1
80	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	30	P1	G8	0.123099998	528	R1
268	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	300	P3	G10	0.092	169	R1
545	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	300	P3	F11	0.083099999	171	R2
544	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	300	P3	F10	0.082599998	173	R2
269	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	300	P3	G11	0.091899998	175	R1
556	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	300	P3	G10	0.084299996	176	R2
846	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	300	P3	G10	0.088799998	176	R3
546	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	300	P3	F12	0.084799998	177	R2
270	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	300	P3	G12	0.092600003	178	R1
557	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	300	P3	G11	0.083700001	178	R2
847	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	300	P3	G11	0.0898	178	R3
558	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	300	P3	G12	0.086400002	180	R2
848	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	300	P3	G12	0.091399997	204	R3
353	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	300	P1	F11	0.144400001	366	R2
365	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	300	P1	G11	0.143399999	396	R2
352	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	300	P1	F10	0.156000003	411	R2
364	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	300	P1	G10	0.147699997	419	R2
354	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	300	P1	F12	0.151600003	420	R2
366	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	300	P1	G12	0.154200003	445	R2
652	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	300	P1	G10	0.141200006	452	R3
653	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	300	P1	G11	0.144899994	484	R3
654	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	300	P1	G12	0.152799994	534	R3
82	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	300	P1	G10	0.122699998	554	R1
84	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	300	P1	G12	0.132100001	603	R1
83	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	300	P1	G11	0.127599999	607	R1
752	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3000	P2	G12	0.143999994	176	R3
176	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3000	P2	G12	0.097199999	177	R1
751	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3000	P2	G11	0.103100002	181	R3
450	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3000	P2	F12	0.125599995	185	R2
449	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3000	P2	F11	0.124499999	186	R2
174	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3000	P2	G10	0.096199997	187	R1
175	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3000	P2	G11	0.093500003	187	R1
750	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3000	P2	G10	0.105300002	190	R3
448	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3000	P2	F10	0.1219	194	R2
462	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3000	P2	G12	0.125	195	R2
461	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3000	P2	G11	0.124300003	203	R2
460	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG 	3000	P2	G10	0.118799999	212	R2
440	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3000	P2	F2	0.164399996	477	R2
439	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3000	P2	F1	0.1699	516	R2
743	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3000	P2	G3	0.154899999	517	R3
742	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3000	P2	G2	0.150299996	528	R3
741	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3000	P2	G1	0.158999994	534	R3
441	C10_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3000	P2	F3	0.179700002	553	R2
452	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3000	P2	G2	0.178299993	558	R2
453	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3000	P2	G3	0.186900005	565	R2
170	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3000	P2	G2	0.136399999	579	R1
451	F2_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3000	P2	G1	0.1734	592	R2
169	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3000	P2	G1	0.137600005	599	R1
171	E12_B329_LIKE	R329Wt_like_mutant	 M9_3OMG_F16 	3000	P2	G3	0.149900004	665	R1
861							0.081	130	R
