"Plate";"Plate_Well";"Well";"Condition";"475nm/510nm";"600nm";"row";"col";"borders";"mad_475nm_510nm";"median_475nm_510nm";"TH_low";"TH_high";"adj475nm/510nm";"Interest"
48;"48_H4";"H4";"B329_WT+F16";1144;0.136000007;"H";"4";"y";157.1556;1451;NA;NA;0.78842177808408;"No"
49;"49_H1";"H1";"B329_WT+F16";1241;0.174500003;"H";"1";"y";203.8575;1550.5;NA;NA;0.800386971944534;"No"
49;"49_H2";"H2";"B329_WT+F16";1230;0.149299994;"H";"2";"y";203.8575;1550.5;NA;NA;0.793292486294744;"No"
49;"49_H3";"H3";"B329_WT+F16";1242;0.149499997;"H";"3";"y";203.8575;1550.5;NA;NA;0.801031925185424;"No"
49;"49_H4";"H4";"B329_WT+F16";1246;0.167899996;"H";"4";"y";203.8575;1550.5;NA;NA;0.803611738148984;"No"
50;"50_H1";"H1";"B329_WT+F16";955;0.143000007;"H";"1";"y";90.4386;979.5;NA;NA;0.974987238386932;"No"
50;"50_H2";"H2";"B329_WT+F16";798;0.136500001;"H";"2";"y";90.4386;979.5;NA;NA;0.814701378254211;"No"
50;"50_H3";"H3";"B329_WT+F16";771;0.140000001;"H";"3";"y";90.4386;979.5;NA;NA;0.787136294027565;"No"
50;"50_H4";"H4";"B329_WT+F16";770;0.134900004;"H";"4";"y";90.4386;979.5;NA;NA;0.786115364982134;"No"
51;"51_H1";"H1";"B329_WT+F16";764;0.135000005;"H";"1";"y";95.6277;938.5;NA;NA;0.814064997336175;"No"
51;"51_H2";"H2";"B329_WT+F16";744;0.125799999;"H";"2";"y";95.6277;938.5;NA;NA;0.792754395311668;"No"
51;"51_H3";"H3";"B329_WT+F16";723;0.130799994;"H";"3";"y";95.6277;938.5;NA;NA;0.770378263185935;"No"
51;"51_H4";"H4";"B329_WT+F16";865;0.146599993;"H";"4";"y";95.6277;938.5;NA;NA;0.921683537559936;"No"
52;"52_H1";"H1";"B329_WT+F16";765;0.139599994;"H";"1";"y";114.1602;991;NA;NA;0.771947527749748;"No"
52;"52_H2";"H2";"B329_WT+F16";767;0.136800006;"H";"2";"y";114.1602;991;NA;NA;0.773965691220989;"No"
52;"52_H3";"H3";"B329_WT+F16";658;0.129199997;"H";"3";"y";114.1602;991;NA;NA;0.663975782038345;"No"
52;"52_H4";"H4";"B329_WT+F16";689;0.133200005;"H";"4";"y";114.1602;991;NA;NA;0.695257315842583;"No"
53;"53_H1";"H1";"B329_WT+F16";643;0.131600007;"H";"1";"y";111.195;955;NA;NA;0.673298429319372;"No"
53;"53_H2";"H2";"B329_WT+F16";631;0.1197;"H";"2";"y";111.195;955;NA;NA;0.660732984293194;"No"
53;"53_H3";"H3";"B329_WT+F16";663;0.122400001;"H";"3";"y";111.195;955;NA;NA;0.694240837696335;"No"
53;"53_H4";"H4";"B329_WT+F16";657;0.124899998;"H";"4";"y";111.195;955;NA;NA;0.687958115183246;"No"
54;"54_H1";"H1";"B329_WT+F16";659;0.122599997;"H";"1";"y";154.9317;857;NA;NA;0.768961493582264;"No"
54;"54_H2";"H2";"B329_WT+F16";656;0.1193;"H";"2";"y";154.9317;857;NA;NA;0.765460910151692;"No"
54;"54_H3";"H3";"B329_WT+F16";597;0.116800003;"H";"3";"y";154.9317;857;NA;NA;0.696616102683781;"No"
54;"54_H4";"H4";"B329_WT+F16";600;0.119900003;"H";"4";"y";154.9317;857;NA;NA;0.700116686114352;"No"
55;"55_H1";"H1";"B329_WT+F16";759;0.119800001;"H";"1";"y";259.455;882;NA;NA;0.860544217687075;"No"
55;"55_H2";"H2";"B329_WT+F16";632;0.112599999;"H";"2";"y";259.455;882;NA;NA;0.71655328798186;"No"
55;"55_H3";"H3";"B329_WT+F16";606;0.120099999;"H";"3";"y";259.455;882;NA;NA;0.687074829931973;"No"
55;"55_H4";"H4";"B329_WT+F16";1132;0.130799994;"H";"4";"y";259.455;882;NA;NA;1.28344671201814;"No"
56;"56_H1";"H1";"B329_WT+F16";1245;0.167699993;"H";"1";"y";95.6277;936;NA;NA;1.3301282051282;"No"
56;"56_H2";"H2";"B329_WT+F16";849;0.142800003;"H";"2";"y";95.6277;936;NA;NA;0.907051282051282;"No"
56;"56_H3";"H3";"B329_WT+F16";850;0.142199993;"H";"3";"y";95.6277;936;NA;NA;0.908119658119658;"No"
56;"56_H4";"H4";"B329_WT+F16";864;0.137099996;"H";"4";"y";95.6277;936;NA;NA;0.923076923076923;"No"
57;"57_H1";"H1";"B329_WT+F16";833;0.137099996;"H";"1";"y";116.3841;938;NA;NA;0.888059701492537;"No"
57;"57_H2";"H2";"B329_WT+F16";737;0.123400003;"H";"2";"y";116.3841;938;NA;NA;0.785714285714286;"No"
57;"57_H3";"H3";"B329_WT+F16";772;0.1206;"H";"3";"y";116.3841;938;NA;NA;0.823027718550107;"No"
57;"57_H4";"H4";"B329_WT+F16";758;0.128399998;"H";"4";"y";116.3841;938;NA;NA;0.808102345415778;"No"
58;"58_H1";"H1";"B329_WT+F16";797;0.170200005;"H";"1";"y";74.13;895.5;NA;NA;0.89000558347292;"No"
58;"58_H2";"H2";"B329_WT+F16";742;0.141499996;"H";"2";"y";74.13;895.5;NA;NA;0.8285873813512;"No"
58;"58_H3";"H3";"B329_WT+F16";840;0.179499999;"H";"3";"y";74.13;895.5;NA;NA;0.938023450586265;"No"
58;"58_H4";"H4";"B329_WT+F16";770;0.141499996;"H";"4";"y";74.13;895.5;NA;NA;0.859854829704076;"No"
59;"59_H1";"H1";"B329_WT+F16";736;0.1131;"H";"1";"y";69.6822;888;NA;NA;0.828828828828829;"No"
59;"59_H2";"H2";"B329_WT+F16";690;0.108000003;"H";"2";"y";69.6822;888;NA;NA;0.777027027027027;"No"
59;"59_H3";"H3";"B329_WT+F16";703;0.122699998;"H";"3";"y";69.6822;888;NA;NA;0.791666666666667;"No"
59;"59_H4";"H4";"B329_WT+F16";801;0.138999999;"H";"4";"y";69.6822;888;NA;NA;0.902027027027027;"No"
60;"60_H1";"H1";"B329_WT+F16";742;0.315100014;"H";"1";"y";99.3342;878;NA;NA;0.845102505694761;"No"
60;"60_H2";"H2";"B329_WT+F16";710;0.119199999;"H";"2";"y";99.3342;878;NA;NA;0.808656036446469;"No"
