	SAMPLE_ID	GROUP	Plant	Treatment	Time	Mg.Plant	Unit	Compound	Labelled	PEAK_AREA	PEAK_AREA_Norm
69	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C_3OMG6P_06	Yes	318349346	26774545500
70	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C_3OMG6P_06	Yes	393790221	21182905917
71	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C_3OMG6P_06	Yes	462638429	22009440010
72	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C_3OMG6P_06	Yes	492262579	17933062987
73	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C_3OMG6P_06	Yes	0	0
74	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C_3OMG6P_06	Yes	0	0
75	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C_3OMG6P_06	Yes	0	0
76	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C_3OMG6P_06	Yes	0	0
77	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C_3OMG6P_06	Yes	1334183743	28344672679
78	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C_3OMG6P_06	Yes	1295000942	29532518632
79	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C_3OMG6P_06	Yes	1404997861	22404686031
80	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C_3OMG6P_06	Yes	887394557	29798339725
81	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C_3OMG6P_06	Yes	467041023	NA
82	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C_3OMG6P_06	Yes	448771113	NA
83	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C_3OMG6P_06	Yes	440093483	NA
84	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C_3OMG6P_06	Yes	NA	NA
85	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_3PG_00	No	250777336	14041284211
86	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_3PG_00	No	746939395	44540214371
87	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_3PG_00	No	849845835	14629812963
88	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_3PG_00	No	725361331	20642041292
89	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C_3PG_00	No	427389210	26645212594
90	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C_3PG_00	No	591438574	28030264171
91	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C_3PG_00	No	681068047	27199203155
92	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C_3PG_00	No	687088645	24270174673
93	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C_3PG_00	No	452127685	31138270317
94	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C_3PG_00	No	342011620	27295420591
95	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C_3PG_00	No	386131237	26447345000
96	12_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0172	Milligrams	13C_3PG_00	No	515289625	29958699128
97	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C_3PG_00	No	386525028	32508412784
98	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C_3PG_00	No	510753022	27474611189
99	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C_3PG_00	No	511250605	24322102997
100	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C_3PG_00	No	626618127	22827618470
101	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C_3PG_00	No	1088194782	15853653584
102	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C_3PG_00	No	1092485506	19895929812
103	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C_3PG_00	No	1100441412	16605423450
104	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C_3PG_00	No	943593229	17548693119
105	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C_3PG_00	No	1261835640	26807640535
106	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C_3PG_00	No	618869274	14113324379
107	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C_3PG_00	No	1396578987	22270435130
108	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C_3PG_00	No	1003529907	33698116420
109	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C_3PG_00	No	623194191	NA
110	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C_3PG_00	No	761185873	NA
111	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C_3PG_00	No	772314413	NA
112	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C_3PG_00	No	NA	NA
113	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_citric_00	No	3003119730	1.68148E+11
114	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_citric_00	No	6834004404	4.07514E+11
115	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_citric_00	No	9564727973	1.64654E+11
116	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_citric_00	No	8145948055	2.31814E+11
117	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C_citric_00	No	4215155610	2.6279E+11
118	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C_citric_00	No	5635550571	2.67088E+11
119	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C_citric_00	No	8365672450	3.34092E+11
120	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C_citric_00	No	8168983938	2.88555E+11
121	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C_citric_00	No	3822375197	2.63249E+11
