	ID2	System	Plant	Experiment	Bio_rep	Tech_Rep	Microbes	Treatment	Element	Weight	Tube	Tube+element	Microbial ID	Primers	CT	UBQ10	Kingdom
43	Flowpots_Arabidopsis_thaliana_MiniSC_1_3_FSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	3	FSC	3OMG	Matrix	465.1	1951.9	2417	MiniSC	Primer_16S	15.86		Bacteria
44	Flowpots_Arabidopsis_thaliana_MiniSC_1_4_FSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	4	FSC	3OMG	Matrix	403.9	1984	2387.9	MiniSC	Primer_16S	16.08		Bacteria
45	Flowpots_Arabidopsis_thaliana_MiniSC_1_5_FSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	5	FSC	3OMG	Matrix	396.8	1862.1	2258.9	MiniSC	Primer_16S	15.74		Bacteria
46	Flowpots_Arabidopsis_thaliana_MiniSC_1_6_FSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	6	FSC	3OMG	Matrix	454.8	1827	2281.8	MiniSC	Primer_16S	15.33		Bacteria
47	Flowpots_Arabidopsis_thaliana_MiniSC_1_7_FSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	7	FSC	3OMG	Matrix	314.1	1864	2178.1	MiniSC	Primer_16S	16.08		Bacteria
48	Flowpots_Arabidopsis_thaliana_MiniSC_1_8_FSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	8	FSC	3OMG	Matrix	343.1	1836.8	2179.9	MiniSC	Primer_16S	16.88		Bacteria
49	Flowpots_Arabidopsis_thaliana_MiniSC_1_1_BSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	1	BSC	Water	Matrix	397.8	1816.6	2214.4	MiniSC	Primer_16S	13.76		Bacteria
50	Flowpots_Arabidopsis_thaliana_MiniSC_1_2_BSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	2	BSC	Water	Matrix	398.7	1876.7	2275.4	MiniSC	Primer_16S	14.02		Bacteria
51	Flowpots_Arabidopsis_thaliana_MiniSC_1_3_BSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	3	BSC	Water	Matrix	420.1	1872.5	2292.6	MiniSC	Primer_16S	14.78		Bacteria
52	Flowpots_Arabidopsis_thaliana_MiniSC_1_4_BSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	4	BSC	Water	Matrix	336.3	2002.9	2339.2	MiniSC	Primer_16S	14.72		Bacteria
