1	Well	Plate_ID	OD600	Plecto_ID	Plecto_ID2	Condition	Replicate
71	F10	Plecto_MF_1	0.088399999	P421	P421	MF	1
72	F11	Plecto_MF_1	0.090999998	P455	P455	MF	1
73	F12	Plecto_MF_1	0.098499998	P612	P612	MF	1
74	G1	Plecto_MF_1	0.084299996	MgCl2	MgCl2	MF	1
75	G2	Plecto_MF_1	0.0832	MgCl2	MgCl2	MF	1
76	G3	Plecto_MF_1	0.083400004	MgCl2	MgCl2	MF	1
77	G4	Plecto_MF_1	0.083300002	MgCl2	MgCl2	MF	1
78	G5	Plecto_MF_1	0.083099999	MgCl2	MgCl2	MF	1
79	G6	Plecto_MF_1	0.082400002	MgCl2	MgCl2	MF	1
80	G7	Plecto_MF_1	0.089199997	P1	P1	MF	1
81	G8	Plecto_MF_1	0.089199997	P2	P2	MF	1
82	G9	Plecto_MF_1	0.0911	P3	P3	MF	1
83	G10	Plecto_MF_1	0.0898	P4	P4	MF	1
84	G11	Plecto_MF_1	0.090400003	P5	P5	MF	1
85	G12	Plecto_MF_1	0.093900003	P6	P6	MF	1
86	H1	Plecto_MF_1	0.098399997	P7	P7	MF	1
87	H2	Plecto_MF_1	0.088600002	P8	P8	MF	1
88	H3	Plecto_MF_1	0.092399999	P9	P9	MF	1
89	H4	Plecto_MF_1	0.088500001	P10	P10	MF	1
90	H5	Plecto_MF_1	0.095100001	P11	P11	MF	1
91	H6	Plecto_MF_1	0.094599999	P12	P12	MF	1
92	H7	Plecto_MF_1	0.091300003	P13	P13	MF	1
93	H8	Plecto_MF_1	0.091799997	P14	P14	MF	1
94	H9	Plecto_MF_1	0.099399999	P15	P15	MF	1
95	H10	Plecto_MF_1	0.096900001	P16	P16	MF	1
96	H11	Plecto_MF_1	0.105700001	P17	P17	MF	1
97	H12	Plecto_MF_1	0.094999999	P18	P18	MF	1
98	A1	Plecto_MF_2	0.092799999	P19	P19	MF	2
99	A2	Plecto_MF_2	0.094400004	P20	P20	MF	2
100	A3	Plecto_MF_2	0.094700001	P21	P21	MF	2
101	A4	Plecto_MF_2	0.099399999	P22	P22	MF	2
102	A5	Plecto_MF_2	0.098899998	P23	P23	MF	2
103	A6	Plecto_MF_2	0.088699996	P24	P24	MF	2
104	A7	Plecto_MF_2	0.098300003	P25	P25	MF	2
105	A8	Plecto_MF_2	0.094700001	P26	P26	MF	2
106	A9	Plecto_MF_2	0.097099997	P27	P27	MF	2
107	A10	Plecto_MF_2	0.093900003	P28	P28	MF	2
108	A11	Plecto_MF_2	0.095399998	P29	P29	MF	2
109	A12	Plecto_MF_2	0.100500003	P30	P30	MF	2
110	B1	Plecto_MF_2	0.093400002	P31	P31	MF	2
111	B2	Plecto_MF_2	0.087300003	P32	P32	MF	2
112	B3	Plecto_MF_2	0.086000003	P33	P33	MF	2
113	B4	Plecto_MF_2	0.094899997	P34	P34	MF	2
114	B5	Plecto_MF_2	0.0898	P35	P35	MF	2
115	B6	Plecto_MF_2	0.089500003	P36	P36	MF	2
116	B7	Plecto_MF_2	0.089199997	P38	P38	MF	2
117	B8	Plecto_MF_2	0.088399999	P39	P39	MF	2
118	B9	Plecto_MF_2	0.086900003	P40	P40	MF	2
119	B10	Plecto_MF_2	0.086599998	P41	P41	MF	2
120	B11	Plecto_MF_2	0.089199997	P42	P42	MF	2
121	B12	Plecto_MF_2	0.095899999	P43	P43	MF	2
122	C1	Plecto_MF_2	0.092799999	P44	P44	MF	2
123	C2	Plecto_MF_2	0.0889	P45	P45	MF	2
124	C3	Plecto_MF_2	0.092	P46	P46	MF	2
125	C4	Plecto_MF_2	0.091899998	P47	P47	MF	2
126	C5	Plecto_MF_2	0.089000002	P48	P48	MF	2
127	C6	Plecto_MF_2	0.087099999	P49	P49	MF	2
128	C7	Plecto_MF_2	0.090999998	P50	P50	MF	2
129	C8	Plecto_MF_2	0.090800002	P51	P51	MF	2
130	C9	Plecto_MF_2	0.090499997	P52	P52	MF	2
131	C10	Plecto_MF_2	0.088100001	P54	P54	MF	2
132	C11	Plecto_MF_2	0.090499997	P55	P55	MF	2
133	C12	Plecto_MF_2	0.098899998	P56	P56	MF	2
134	D1	Plecto_MF_2	0.092	P57	P57	MF	2
135	D2	Plecto_MF_2	0.0964	P58	P58	MF	2
136	D3	Plecto_MF_2	0.087700002	P59	P59	MF	2
137	D4	Plecto_MF_2	0.089400001	P60	P60	MF	2
138	D5	Plecto_MF_2	0.088	P61	P61	MF	2
139	D6	Plecto_MF_2	0.087300003	P62	P62	MF	2
140	D7	Plecto_MF_2	0.088699996	P63	P63	MF	2
141	D8	Plecto_MF_2	0.090599999	P64	P64	MF	2
142	D9	Plecto_MF_2	0.100100003	P65	P65	MF	2
143	D10	Plecto_MF_2	0.091300003	P66	P66	MF	2
144	D11	Plecto_MF_2	0.088100001	P67	P67	MF	2
145	D12	Plecto_MF_2	0.093800001	P68	P68	MF	2
146	E1	Plecto_MF_2	0.096500002	P117	P117	MF	2
147	E2	Plecto_MF_2	0.097800002	P143	P143	MF	2
148	E3	Plecto_MF_2	0.089199997	P340	P340	MF	2
149	E4	Plecto_MF_2	0.089400001	P421	P421	MF	2
150	E5	Plecto_MF_2	0.089500003	P455	P455	MF	2
151	E6	Plecto_MF_2	0.090800002	P612	P612	MF	2
152	E7	Plecto_MF_2	0.0836	MgCl2	MgCl2	MF	2
153	E8	Plecto_MF_2	0.083499998	MgCl2	MgCl2	MF	2
154	E9	Plecto_MF_2	0.083899997	MgCl2	MgCl2	MF	2
155	E10	Plecto_MF_2	0.084399998	MgCl2	MgCl2	MF	2
156	E11	Plecto_MF_2	0.085100003	MgCl2	MgCl2	MF	2
157	E12	Plecto_MF_2	0.084799998	MgCl2	MgCl2	MF	2
158	F1	Plecto_MF_2	0.091700003	P1	P1	MF	2
159	F2	Plecto_MF_2	0.088200003	P2	P2	MF	2
160	F3	Plecto_MF_2	0.093500003	P3	P3	MF	2
161	F4	Plecto_MF_2	0.089599997	P4	P4	MF	2
162	F5	Plecto_MF_2	0.087899998	P5	P5	MF	2
163	F6	Plecto_MF_2	0.087300003	P6	P6	MF	2
164	F7	Plecto_MF_2	0.091200002	P7	P7	MF	2
165	F8	Plecto_MF_2	0.087499999	P8	P8	MF	2
166	F9	Plecto_MF_2	0.088799998	P9	P9	MF	2
167	F10	Plecto_MF_2	0.088100001	P10	P10	MF	2
168	F11	Plecto_MF_2	0.091200002	P11	P11	MF	2
169	F12	Plecto_MF_2	0.092399999	P12	P12	MF	2
170	G1	Plecto_MF_2	0.093400002	P13	P13	MF	2
171	G2	Plecto_MF_2	0.088600002	P14	P14	MF	2
172	G3	Plecto_MF_2	0.0911	P15	P15	MF	2
173	G4	Plecto_MF_2	0.093800001	P16	P16	MF	2
174	G5	Plecto_MF_2	0.092200004	P17	P17	MF	2
175	G6	Plecto_MF_2	0.090400003	P18	P18	MF	2
176	G7	Plecto_MF_2	0.088799998	P19	P19	MF	2
177	G8	Plecto_MF_2	0.094599999	P20	P20	MF	2
178	G9	Plecto_MF_2	0.089199997	P21	P21	MF	2
179	G10	Plecto_MF_2	0.090599999	P22	P22	MF	2
180	G11	Plecto_MF_2	0.089699998	P23	P23	MF	2
181	G12	Plecto_MF_2	0.089100003	P24	P24	MF	2
182	H1	Plecto_MF_2	0.103500001	P25	P25	MF	2
183	H2	Plecto_MF_2	0.096199997	P26	P26	MF	2
184	H3	Plecto_MF_2	0.093000002	P27	P27	MF	2
185	H4	Plecto_MF_2	0.091399997	P28	P28	MF	2
186	H5	Plecto_MF_2	0.091399997	P29	P29	MF	2
187	H6	Plecto_MF_2	0.096100003	P30	P30	MF	2
188	H7	Plecto_MF_2	0.092500001	P31	P31	MF	2
189	H8	Plecto_MF_2	0.096000001	P32	P32	MF	2
190	H9	Plecto_MF_2	0.090099998	P33	P33	MF	2
191	H10	Plecto_MF_2	0.102799997	P34	P34	MF	2
192	H11	Plecto_MF_2	0.098800004	P35	P35	MF	2
193	H12	Plecto_MF_2	0.102600001	P36	P36	MF	2
194	A1	Plecto_MF_3	0.0973	P38	P38	MF	3
195	A2	Plecto_MF_3	0.095700003	P39	P39	MF	3
196	A3	Plecto_MF_3	0.097599998	P40	P40	MF	3
197	A4	Plecto_MF_3	0.091200002	P41	P41	MF	3
198	A5	Plecto_MF_3	0.094499998	P42	P42	MF	3
199	A6	Plecto_MF_3	0.093999997	P43	P43	MF	3
200	A7	Plecto_MF_3	0.092200004	P44	P44	MF	3
201	A8	Plecto_MF_3	0.093699999	P45	P45	MF	3
202	A9	Plecto_MF_3	0.093800001	P46	P46	MF	3
203	A10	Plecto_MF_3	0.096699998	P47	P47	MF	3
